"","male","female","",""
"ageCat1","0","0","relative.walk.time","zcta1"
"ageCat2","0","8.75841787972357","",""
"ageCat3","0","1","",""
"ageCat4","0.269421994273026","0","",""
"ageCat5","0.458367288958005","4.21718878362464","",""
"ageCat6","0.925158064990442","0","",""
"ageCat7","0","0","",""
"ageCat8","0.789977944419938","0","",""
"","","","",""
"ageCat1","0","0","relative.cycle.time",""
"ageCat2","330.666666666667","0","",""
"ageCat3","0","1","",""
"ageCat4","0","0","",""
"ageCat5","0","0","",""
"ageCat6","12.6666666666667","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.walk.speed",""
"ageCat2","0","1.00353518771028","",""
"ageCat3","0","1","",""
"ageCat4","1.01322964154823","0","",""
"ageCat5","1.02096421896462","1.00309734513274","",""
"ageCat6","1.00456029702161","0","",""
"ageCat7","0","0","",""
"ageCat8","1.00193230756581","0","",""
"","","","",""
"ageCat1","0","0","relative.cycle.speed",""
"ageCat2","1000","0","",""
"ageCat3","0","1","",""
"ageCat4","0","0","",""
"ageCat5","0","0","",""
"ageCat6","1003.0959752322","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0.154424915201973","relative.walk.time","zcta2"
"ageCat2","0.942047124122544","1.95653262229961","",""
"ageCat3","0.737588652482269","1","",""
"ageCat4","0","0.643310066436801","",""
"ageCat5","0.538760407030527","0.77885555702392","",""
"ageCat6","3.43296947271045","0.426166248182899","",""
"ageCat7","0.322664199814986","1.16706753006475","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.cycle.time",""
"ageCat2","12.0320855614973","0","",""
"ageCat3","0","1","",""
"ageCat4","0","0.918732782369146","",""
"ageCat5","3.71541501976285","0","",""
"ageCat6","0","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","1.02079038071106","relative.walk.speed",""
"ageCat2","0.998460591133005","0.99703878893844","",""
"ageCat3","1.00031577617785","1","",""
"ageCat4","0","0.996163359068068","",""
"ageCat5","1.00179992421372","1.00022250068706","",""
"ageCat6","0.998718880498651","1.0006898507014","",""
"ageCat7","1.00762078004248","1.00036000887137","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.cycle.speed",""
"ageCat2","0.999111111111111","0","",""
"ageCat3","0","1","",""
"ageCat4","0","0.998500749625188","",""
"ageCat5","1","0","",""
"ageCat6","0","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0.141430934900692","0.17436112369386","relative.walk.time","zcta3"
"ageCat2","1.30904334632552","1.18431559018191","",""
"ageCat3","0.861909768972263","1","",""
"ageCat4","0.530192602472084","0.72723711942394","",""
"ageCat5","0.488525589620782","0.721695517513673","",""
"ageCat6","0.394408990695102","0.822155572444495","",""
"ageCat7","0.495306475914482","0.478556851809601","",""
"ageCat8","0.623295727025181","0.342312601281478","",""
"","","","",""
"ageCat1","0.0206989311877027","0.410630985799207","relative.cycle.time",""
"ageCat2","6.35954890302987","1.57057366689874","",""
"ageCat3","1.265405589231","1","",""
"ageCat4","1.15029295205533","0.433940539146321","",""
"ageCat5","0.649836015219924","0.291856983721421","",""
"ageCat6","0.660305982124219","0.361921544749009","",""
"ageCat7","0.460849588753146","0.291635711211834","",""
"ageCat8","0.250040980049947","0.0230062487940273","",""
"","","","",""
"ageCat1","1.00242169046938","0.998957159940733","relative.walk.speed",""
"ageCat2","1.0003800512225","0.999431682839122","",""
"ageCat3","0.999378876862685","1","",""
"ageCat4","1.00094874357002","1.00024510891128","",""
"ageCat5","1.0000285297932","1.00026752955319","",""
"ageCat6","0.999201991001141","1.00080182299034","",""
"ageCat7","0.999601345704321","0.999562834411121","",""
"ageCat8","0.999559535398438","1.00105133306854","",""
"","","","",""
"ageCat1","0.992805755395684","1.00038955979743","relative.cycle.speed",""
