"","male","female","",""
"ageCat1","0","0","relative.walk.time","zcta1"
"ageCat2","0","0","",""
"ageCat3","1.53252154535871","1","",""
"ageCat4","0.335907628432744","0.0418596546168105","",""
"ageCat5","1.06569281507029","0.585706316284839","",""
"ageCat6","0.260114732486967","0.269902354859144","",""
"ageCat7","0","0","",""
"ageCat8","0.321947485553093","0.322614379975542","",""
"","","","",""
"ageCat1","0","0","relative.cycle.time",""
"ageCat2","143.142857142857","0","",""
"ageCat3","0","1","",""
"ageCat4","0","0","",""
"ageCat5","0","0","",""
"ageCat6","0","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.walk.speed",""
"ageCat2","0","0","",""
"ageCat3","0.998306647288175","1","",""
"ageCat4","0.982602594318407","0.985625986916309","",""
"ageCat5","1.00081375547842","1.00238463772845","",""
"ageCat6","0.999141220847071","1.00750319924272","",""
"ageCat7","0","0","",""
"ageCat8","1.00402347797074","1.00264355999413","",""
"","","","",""
"ageCat1","0","0","relative.cycle.speed",""
"ageCat2","1000","0","",""
"ageCat3","0","1","",""
"ageCat4","0","0","",""
"ageCat5","0","0","",""
"ageCat6","0","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","1.33490637383913","0","relative.walk.time","zcta2"
"ageCat2","6.43452218894636","6.5481078137762","",""
"ageCat3","2.4236506848672","1","",""
"ageCat4","1.44976858154097","0.398678961635436","",""
"ageCat5","0.507862594703193","0.227808532736385","",""
"ageCat6","0.185497776567747","0","",""
"ageCat7","0.8553354366522","0","",""
"ageCat8","0.647608675923405","2.67973500317633","",""
"","","","",""
"ageCat1","0","0","relative.cycle.time",""
"ageCat2","0","87.8","",""
"ageCat3","55.3103448275862","1","",""
"ageCat4","0","0","",""
"ageCat5","223.655172413793","15.7037037037037","",""
"ageCat6","55.8333333333333","0","",""
"ageCat7","0","0","",""
"ageCat8","44.6666666666667","0","",""
"","","","",""
"ageCat1","1.00979767150906","0","relative.walk.speed",""
"ageCat2","1.01102992801393","1.0082603997918","",""
"ageCat3","1.00937862880844","1","",""
"ageCat4","1.01190837331682","1.00666910286863","",""
"ageCat5","1.01473652050405","1.01478302151107","",""
"ageCat6","1.02683813251328","0","",""
"ageCat7","1.00362459589542","0","",""
"ageCat8","1.0105742538478","1.0169941139868","",""
"","","","",""
"ageCat1","0","0","relative.cycle.speed",""
"ageCat2","0","997.722095671982","",""
"ageCat3","1002.49376558604","1","",""
"ageCat4","0","0","",""
"ageCat5","1000","1004.71698113208","",""
"ageCat6","1002.98507462687","0","",""
"ageCat7","0","0","",""
"ageCat8","1000","0","",""
"","","","",""
"ageCat1","0.314533601763973","0.558790692653918","relative.walk.time","zcta3"
"ageCat2","1.43369075922976","1.52088188547296","",""
"ageCat3","0.988177743389776","1","",""
"ageCat4","0.606895149867767","0.919748915943561","",""
"ageCat5","0.823365270364881","1.16627911598833","",""
"ageCat6","0.753033915535834","0.853083338820162","",""
"ageCat7","0.546463691075631","0.900739943928031","",""
"ageCat8","0.72224985811546","0.773961857701333","",""
"","","","",""
"ageCat1","0.2913039684098","0","relative.cycle.time",""
"ageCat2","7.61327636868612","7.64369723149421","",""
"ageCat3","3.7611690716478","1","",""
"ageCat4","2.0477643307017","0.845144172440497","",""
"ageCat5","0.671677835426534","0.0656351086181704","",""
"ageCat6","0.0480371656531578","0.0973403206966677","",""
"ageCat7","1.51759785634262","1.57099386490994","",""
"ageCat8","0.478232234694767","0.512059346348041","",""
"","","","",""
"ageCat1","0.99925519964783","1.0005945707059","relative.walk.speed",""
"ageCat2","0.999687021559824","0.999108440392991","",""
"ageCat3","0.999406731449445","1","",""
"ageCat4","0.999225665181117","0.999958272595171","",""
"ageCat5","0.999993513738041","0.999448948331176","",""
"ageCat6","0.999652334686463","1.00020465848012","",""
"ageCat7","0.99930884426566","0.999770588614425","",""
"ageCat8","0.99974254661274","1.0001223721515","",""
"","","","",""
"ageCat1","1.00270348139256","0","relative.cycle.speed",""
"ageCat2","0.998517441713953","0.998543567952171","",""
"ageCat3","0.998379736424957","1","",""
"ageCat4","0.998742143463565","0.998627450980392","",""
"ageCat5","0.998198229175621","0.996887681902029","",""
"ageCat6","1.00349880439981","0.99738227959513","",""
"ageCat7","0.999074797904827","0.999045811873137","",""
"ageCat8","0.999228671601091","0.996961088130127","",""
"","","","",""
"ageCat1","0.335688456415216","0.36835944870469","relative.walk.time","zcta4"
"ageCat2","1.78444252721026","1.82268243199119","",""
"ageCat3","0.862411152070603","1","",""
"ageCat4","0.685660203944414","0.810529236017055","",""
"ageCat5","0.779753443709571","0.868323926069897","",""
"ageCat6","0.690520724753743","0.756460500790184","",""
"ageCat7","0.596441239713109","0.825874140024784","",""
"ageCat8","0.612764218641463","0.715576705010005","",""
"","","","",""
"ageCat1","0.559372197818413","0.286689814119312","relative.cycle.time",""
"ageCat2","4.13892408785178","1.62959274015051","",""
"ageCat3","2.55162409859272","1","",""
"ageCat4","1.42265462141907","0.434470823086687","",""
"ageCat5","1.59730906321393","0.344832084829307","",""
"ageCat6","1.47761273144084","0.25608499017686","",""
"ageCat7","0.546568270230949","0.248378108546559","",""
"ageCat8","0.339498487531356","0.361271098743743","",""
"","","","",""
"ageCat1","1.00059010608619","1.00032818124167","relative.walk.speed",""
"ageCat2","1.00002914540988","1.00014151427418","",""
"ageCat3","0.999976674664803","1","",""
"ageCat4","0.999890557539797","1.00006906271901","",""
"ageCat5","0.999638838583281","0.999792176569267","",""
"ageCat6","0.999590462703871","1.00027136360511","",""
"ageCat7","0.999807254755185","0.999899142479225","",""
"ageCat8","0.999433231640981","1.00012655509919","",""
"","","","",""
"ageCat1","0.999906242073123","1.00233035926786","relative.cycle.speed",""
"ageCat2","0.999726455421461","0.999814668809087","",""
"ageCat3","0.999963838338714","1","",""
"ageCat4","0.999860522149659","1.00025452485928","",""
"ageCat5","0.999951662895046","0.999758570552725","",""
"ageCat6","0.999584765743698","0.999795730773159","",""
"ageCat7","1.00065456958409","1.00009678338706","",""
"ageCat8","0.999066059388855","0.99800944307761","",""
"","","","",""
"ageCat1","0.293486402892607","0.424006614852638","relative.walk.time","zcta5"
"ageCat2","1.32487707211367","1.41093309277006","",""
"ageCat3","0.900361834848929","1","",""
"ageCat4","0.759605577923455","1.16764390427361","",""
"ageCat5","0.880976915954235","1.03510798719755","",""
"ageCat6","0.630188002688746","0.812865261785073","",""
"ageCat7","0.649843185356259","0.669437353384748","",""
"ageCat8","0.607010140188424","0.685673728844324","",""
"","","","",""
"ageCat1","0.314664048441671","0.202873284595525","relative.cycle.time",""
"ageCat2","0.665875472152665","0.406151893922539","",""
"ageCat3","1.52691228055913","1","",""
"ageCat4","1.05496603627632","0.485687306872302","",""
"ageCat5","0.998312129210622","0.230001882491644","",""
"ageCat6","0.70458025737435","0.251299453485459","",""
"ageCat7","0.38635519966921","0.212564329873843","",""
"ageCat8","0.382866747097036","0.2496071359091","",""
"","","","",""
"ageCat1","0.999669026069304","1.00050993447466","relative.walk.speed",""
"ageCat2","1.00000710179408","0.999932227310675","",""
"ageCat3","0.999882583724269","1","",""
"ageCat4","0.999744685122545","1.00003512647015","",""
"ageCat5","0.999889070615607","0.999939743331782","",""
"ageCat6","0.999809552496512","1.00002290046226","",""
"ageCat7","0.999782814093342","0.999838523073177","",""
"ageCat8","0.999300531363104","0.999560861822537","",""
"","","","",""
"ageCat1","0.999755391671075","1.00026790152554","relative.cycle.speed",""
"ageCat2","0.999782415133473","0.999708577803931","",""
"ageCat3","0.999968397028269","1","",""
"ageCat4","0.999945796703902","0.999969414762332","",""
"ageCat5","1.00004575347549","1.00038756507289","",""
"ageCat6","0.999819925485313","0.999768324763887","",""
"ageCat7","0.999812446639197","0.999643150905794","",""
"ageCat8","1.00025539864754","1.0000573519222","",""
"","","","",""
"ageCat1","0","0","relative.walk.time","zcta6"
"ageCat2","0","0","",""
"ageCat3","0.811181482149297","1","",""
"ageCat4","0","0.328164442841688","",""
"ageCat5","2.74284044418469","0.986837360259647","",""
"ageCat6","0","0","",""
"ageCat7","0","2.24558240173098","",""
"ageCat8","1.5329967544176","4.54117081379973","",""
"","","","",""
"ageCat1","0","0","relative.cycle.time",""
"ageCat2","0","0","",""
"ageCat3","0","1","",""
"ageCat4","0","0","",""
"ageCat5","0.450689191070683","0","",""
"ageCat6","0","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.walk.speed",""
"ageCat2","0","0","",""
"ageCat3","1.00162542893264","1","",""
"ageCat4","0","0.987982185680028","",""
"ageCat5","0.998246278323602","0.995112698439823","",""
"ageCat6","0","0","",""
"ageCat7","0","0.999564440305793","",""
"ageCat8","0.996465213150581","0.995422519520516","",""
"","","","",""
"ageCat1","0","0","relative.cycle.speed",""
"ageCat2","0","0","",""
"ageCat3","0","1","",""
"ageCat4","0","0","",""
"ageCat5","0.994645247657296","0","",""
"ageCat6","0","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.walk.time","zcta7"
"ageCat2","34.1060906090609","7.55684533970639","",""
"ageCat3","4.80688609401481","1","",""
"ageCat4","15.5552805280528","2.47029702970297","",""
"ageCat5","10.0794381763758","11.6044053843587","",""
"ageCat6","3.80336981066528","3.00832940436901","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.cycle.time",""
"ageCat2","13.2","0","",""
"ageCat3","0","1","",""
"ageCat4","49.6607142857143","0","",""
"ageCat5","56.3720930232558","0","",""
"ageCat6","0","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.walk.speed",""
"ageCat2","1.00897290183645","1.01362007168459","",""
"ageCat3","1.00681388012618","1","",""
"ageCat4","1.01481386062089","1.01202404809619","",""
"ageCat5","1.00673139158576","1.01175575836593","",""
"ageCat6","1.00372670807453","1.00461811722913","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.cycle.speed",""
"ageCat2","1000","0","",""
"ageCat3","0","1","",""
"ageCat4","998.921251348436","0","",""
"ageCat5","1000","0","",""
"ageCat6","0","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0.264027415092112","0.447077338639889","relative.walk.time","zcta8"
"ageCat2","1.76870817896646","1.98278853779177","",""
"ageCat3","0.904409121446068","1","",""
"ageCat4","0.680049167296287","0.851695274034617","",""
"ageCat5","0.711705826067761","0.825679223980866","",""
"ageCat6","0.586135537888803","0.747833975058062","",""
"ageCat7","0.549517536100561","0.615256519633436","",""
"ageCat8","0.518974430977706","0.662546933155912","",""
"","","","",""
"ageCat1","0.385609419980097","0.271540620064842","relative.cycle.time",""
"ageCat2","2.67444602815939","1.44115455934345","",""
"ageCat3","2.19572730573707","1","",""
"ageCat4","1.33221625818855","0.544866555447302","",""
"ageCat5","1.15686492040768","0.487472723474397","",""
"ageCat6","0.598935363749451","0.334981624061952","",""
"ageCat7","0.615544899926934","0.397321339954168","",""
"ageCat8","0.90076053801295","0.258303232409384","",""
"","","","",""
"ageCat1","0.999876675020589","1.00006924671017","relative.walk.speed",""
"ageCat2","1.00001489089624","1.00005218886458","",""
"ageCat3","1.00000931566067","1","",""
"ageCat4","1.00029073088236","0.999966941623828","",""
"ageCat5","1.00011406745327","1.00006257121059","",""
"ageCat6","0.999965323741439","1.00003129175949","",""
"ageCat7","1.00016356620288","0.999875766289277","",""
"ageCat8","0.999915800784986","1.00005951165172","",""
"","","","",""
"ageCat1","1.00043452663129","0.999673243385641","relative.cycle.speed",""
"ageCat2","0.99983946480847","0.999856719901564","",""
"ageCat3","0.999878382635441","1","",""
"ageCat4","0.999899631756633","1.00000271627227","",""
"ageCat5","0.999862197972648","0.999826985506093","",""
"ageCat6","0.999826609197311","0.999919938559735","",""
"ageCat7","0.999938129155583","1.00016240921825","",""
"ageCat8","0.999944387100699","1.00020636234222","",""
"","","","",""
"ageCat1","0.300192378536183","0.413391457651274","relative.walk.time","zcta9"
"ageCat2","1.86440107841709","2.18526573634151","",""
"ageCat3","0.881715950208082","1","",""
"ageCat4","0.859321879243502","0.928207020608732","",""
"ageCat5","0.821016390481893","0.915484740940042","",""
"ageCat6","0.584456435983709","0.871406518418154","",""
"ageCat7","0.654103831426227","0.718047517307035","",""
"ageCat8","0.618333018606818","0.69150869270473","",""
"","","","",""
"ageCat1","0.292488766212733","0.186290123276865","relative.cycle.time",""
"ageCat2","2.05602415294523","0.974917743701231","",""
"ageCat3","2.08688270841333","1","",""
"ageCat4","1.43874794487236","0.547248629761502","",""
"ageCat5","1.31073378249905","0.582299176334919","",""
"ageCat6","1.14860619513343","0.326180662081755","",""
"ageCat7","1.00868210634516","0.355902473112625","",""
"ageCat8","0.621376214913132","0.60195836607738","",""
"","","","",""
"ageCat1","0.999964033667935","1.00013747255798","relative.walk.speed",""
"ageCat2","0.999993895108613","1.00019175428919","",""
"ageCat3","1.00008160008535","1","",""
"ageCat4","1.00011459276572","0.999650928348535","",""
"ageCat5","1.00014157875011","1.00009504014318","",""
"ageCat6","0.999760435363545","0.999922438053198","",""
"ageCat7","0.999656479946951","0.999676125476237","",""
"ageCat8","0.999930864750735","1.00005936267762","",""
"","","","",""
"ageCat1","1.00014365322158","1.00029278613312","relative.cycle.speed",""
"ageCat2","1.00008365657993","1.00008615433134","",""
"ageCat3","0.999948642413803","1","",""
"ageCat4","0.999955511319568","1.00009441981303","",""
"ageCat5","0.999961332130078","0.999915054919794","",""
"ageCat6","0.999885386371824","1.00037266827367","",""
"ageCat7","0.999841730373223","1.00006496317416","",""
"ageCat8","1.00091273401873","1.00001376443545","",""
"","","","",""
"ageCat1","1.48276539973788","1.04844200524246","relative.walk.time","zcta10"
"ageCat2","2.6398378112713","3.16585390272317","",""
"ageCat3","1.93232655823647","1","",""
"ageCat4","3.36219720251277","0.614661909616038","",""
"ageCat5","3.76515145348127","2.21450737311017","",""
"ageCat6","2.67864564417565","6.70251436636758","",""
"ageCat7","4.19808504441532","0.541830493665356","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.cycle.time",""
"ageCat2","32.45","0","",""
"ageCat3","73.5327868852459","1","",""
"ageCat4","57.8793103448276","6.5462962962963","",""
"ageCat5","0","10.2622950819672","",""
"ageCat6","0","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","1.0019072927827","0.999608457904759","relative.walk.speed",""
"ageCat2","1.00153790755881","1.00176515052535","",""
"ageCat3","1.00094186622286","1","",""
"ageCat4","1.00157698028206","1.00226915615481","",""
"ageCat5","1.00013355099743","1.00113601063324","",""
"ageCat6","1.00063381909281","1.00123943902033","",""
"ageCat7","1.00236303095901","1.00131233595801","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.cycle.speed",""
"ageCat2","998.459167950693","0","",""
"ageCat3","999.888529706833","1","",""
"ageCat4","1000","1001.414427157","",""
"ageCat5","0","1000","",""
"ageCat6","0","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0.0803091055884608","0","relative.walk.time","zcta11"
"ageCat2","1.15108759553204","1.39069865003108","",""
"ageCat3","1.00109921721572","1","",""
"ageCat4","2.27750930214751","1.20638800926409","",""
"ageCat5","2.92829024412762","2.0554663439725","",""
"ageCat6","0.534466646596924","1.38272538281823","",""
"ageCat7","0.378883842382321","0.349869286762491","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","1.19556656281724","0","relative.cycle.time",""
"ageCat2","2.48827561327561","5.24033884166774","",""
"ageCat3","2.99833594976452","1","",""
"ageCat4","0","0","",""
"ageCat5","0.47514008674723","0","",""
"ageCat6","0.739442658670233","0","",""
"ageCat7","0.0648434949477255","0","",""
"ageCat8","1.99367827939256","0","",""
"","","","",""
"ageCat1","1.01784358733372","0","relative.walk.speed",""
