"","male","female","",""
"ageCat1","0","0","relative.walk.time","zcta1"
"ageCat2","0","0","",""
"ageCat3","0.394923520283751","1","",""
"ageCat4","3.59763963222176","0","",""
"ageCat5","1.07793788024336","0.946157055667142","",""
"ageCat6","0.290009606147935","0.036602394604712","",""
"ageCat7","0","0.0398285672060888","",""
"ageCat8","0","0.290141245952965","",""
"","","","",""
"ageCat1","0","0","relative.cycle.time",""
"ageCat2","0","0","",""
"ageCat3","77.0769230769231","1","",""
"ageCat4","163.591836734694","0","",""
"ageCat5","22.8952380952381","0","",""
"ageCat6","57.2571428571429","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.walk.speed",""
"ageCat2","0","0","",""
"ageCat3","1.00292806407738","1","",""
"ageCat4","1.00187789019037","0","",""
"ageCat5","1.00143728063761","1.00168010381578","",""
"ageCat6","1.00129309246567","0.985795454545454","",""
"ageCat7","0","0.987962037962038","",""
"ageCat8","0","1.00525751072961","",""
"","","","",""
"ageCat1","0","0","relative.cycle.speed",""
"ageCat2","0","0","",""
"ageCat3","1000","1","",""
"ageCat4","1000","0","",""
"ageCat5","998.336106489185","0","",""
"ageCat6","1000","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0.686533492347446","0","relative.walk.time","zcta2"
"ageCat2","2.82741762974321","3.65689317142806","",""
"ageCat3","1.52504265222289","1","",""
"ageCat4","0.376504560613088","0.351977116875373","",""
"ageCat5","0.168482680110587","1.00988869012125","",""
"ageCat6","0.560888118664282","1.17519029078537","",""
"ageCat7","0.415217319287087","0.156893924335785","",""
"ageCat8","0","1.0682269926456","",""
"","","","",""
"ageCat1","0","0","relative.cycle.time",""
"ageCat2","27.9523809523809","0","",""
"ageCat3","0","1","",""
"ageCat4","0","0","",""
"ageCat5","0","0","",""
"ageCat6","87.5","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","1.0061630716745","0","relative.walk.speed",""
"ageCat2","0.999391206497848","1.0001874802883","",""
"ageCat3","0.999858078895065","1","",""
"ageCat4","1.00300069885193","1.00475126611273","",""
"ageCat5","0.991275358206838","1.00102471207184","",""
"ageCat6","1.00718937932323","0.996814677160484","",""
"ageCat7","1.0028926664639","1.01481814796425","",""
"ageCat8","0","0.997485758041387","",""
"","","","",""
"ageCat1","0","0","relative.cycle.speed",""
"ageCat2","1001.70357751278","0","",""
"ageCat3","0","1","",""
"ageCat4","0","0","",""
"ageCat5","0","0","",""
"ageCat6","1002.85714285714","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0.148985101286892","0.103103785797733","relative.walk.time","zcta3"
"ageCat2","1.51952680981813","1.88318342402268","",""
"ageCat3","0.882321787544862","1","",""
"ageCat4","0.671192519405086","0.713898973931328","",""
"ageCat5","0.748980463181315","0.994568202311739","",""
"ageCat6","0.707585950462466","0.941060157220051","",""
"ageCat7","0.639137508687411","0.864172301377847","",""
"ageCat8","0.755214639373619","0.736328981853279","",""
"","","","",""
"ageCat1","0.542182377008362","0.495363485197197","relative.cycle.time",""
"ageCat2","3.39142751383892","0.928042652652932","",""
"ageCat3","0.851968171635201","1","",""
"ageCat4","0.51390104940592","0.456800427981553","",""
"ageCat5","0.265751564372775","0.306085353723256","",""
"ageCat6","0.16998673793145","0.076773392844672","",""
"ageCat7","0.514420502256593","0.206101845020945","",""
"ageCat8","0.351757478066961","0.04209433302548","",""
"","","","",""
"ageCat1","1.00135691453814","1.00137536141255","relative.walk.speed",""
"ageCat2","1.00065361989867","1.0002573305254","",""
"ageCat3","1.00017159121398","1","",""
"ageCat4","0.999696476254437","1.00047526201374","",""
"ageCat5","1.00021726062201","1.00051668723107","",""
"ageCat6","1.00002351482981","1.00006021353442","",""
"ageCat7","1.00040150816225","1.00060198775349","",""
"ageCat8","1.00004944706194","1.00065469746087","",""
"","","","",""
"ageCat1","1.00040557268137","1.00062247233258","relative.cycle.speed",""
"ageCat2","1.00049422545767","1.00010125178384","",""
"ageCat3","1.00061817799281","1","",""
"ageCat4","1.00029945385775","1.0001968171801","",""
"ageCat5","0.999838230900868","1.0006012739824","",""
"ageCat6","1.00164221576923","1.0002510460251","",""
"ageCat7","1.00013401653569","0.999887978494787","",""
"ageCat8","1.00067247052311","0.998197142439837","",""
"","","","",""
"ageCat1","0.437202225732808","0.365034431231261","relative.walk.time","zcta4"
"ageCat2","1.88293145474753","1.802225761555","",""
"ageCat3","0.894476181457752","1","",""
"ageCat4","0.753608796541444","0.944448692092194","",""
"ageCat5","0.873724208123502","0.903277164615667","",""
"ageCat6","0.754720460486835","0.759245803198501","",""
"ageCat7","0.516414399758338","2.1192534811646","",""
"ageCat8","0.570985921536636","0.684210046845153","",""
"","","","",""
"ageCat1","0.974414861927898","0.37344119863228","relative.cycle.time",""
"ageCat2","5.1283393593596","2.47321809559635","",""
"ageCat3","3.24953091599797","1","",""
"ageCat4","1.85970967348817","1.13675999599719","",""
"ageCat5","1.14613455054439","0.463489317462921","",""
"ageCat6","0.842462555835539","0.738617480646056","",""
"ageCat7","0.798714290771102","0.558394039344281","",""
"ageCat8","1.17742779213098","0.187915578745541","",""
"","","","",""
"ageCat1","0.999825647194345","0.999096515120043","relative.walk.speed",""
"ageCat2","0.999980497901304","0.999946453740842","",""
"ageCat3","0.999966200838019","1","",""
"ageCat4","1.00002574629994","0.999838057977455","",""
"ageCat5","0.999919599924433","1.00007197812421","",""
"ageCat6","1.00026689421973","0.999990061357851","",""
"ageCat7","1.00016953445876","0.999947834502995","",""
"ageCat8","1.00014998567475","1.00022855741946","",""
"","","","",""
"ageCat1","0.999963485128746","0.998613852069346","relative.cycle.speed",""
"ageCat2","0.999770559001023","0.999633518377887","",""
"ageCat3","0.999944825613585","1","",""
"ageCat4","0.999849840826495","0.999734428937307","",""
"ageCat5","0.999660399898459","0.999845704633281","",""
"ageCat6","1.00030487182804","0.999445447346641","",""
"ageCat7","1.00026133926919","0.998574340791463","",""
"ageCat8","1.00031488586567","1.00083007412757","",""
"","","","",""
"ageCat1","0.284863604036361","0.340806063683032","relative.walk.time","zcta5"
"ageCat2","1.11244579070633","1.12114343292734","",""
"ageCat3","0.866332166513041","1","",""
"ageCat4","0.836944817173508","1.10228168644533","",""
"ageCat5","0.931654308839216","1.05431796504436","",""
"ageCat6","0.845726189875974","0.945620019057564","",""
"ageCat7","0.770489112785435","0.731833966988023","",""
"ageCat8","0.704800298008645","0.748778387332344","",""
"","","","",""
"ageCat1","0.453759221857556","0.269476371081654","relative.cycle.time",""
"ageCat2","1.45251377432445","0.425782622096607","",""
"ageCat3","2.39641848219724","1","",""
"ageCat4","2.97650437117038","0.866858803509253","",""
"ageCat5","1.84654530993103","0.924327677516239","",""
"ageCat6","1.09816001415166","0.379374535276077","",""
"ageCat7","1.11119831511462","0.760819062663215","",""
"ageCat8","1.07640733392717","0.33465008927624","",""
"","","","",""
"ageCat1","1.00005019070101","0.999862398443907","relative.walk.speed",""
"ageCat2","0.999948470665123","1.00016949178725","",""
"ageCat3","0.999841592302603","1","",""
"ageCat4","1.00013576122463","1.00004162176782","",""
"ageCat5","1.00012708683464","1.00003512362885","",""
"ageCat6","1.00025190804586","0.999965281412545","",""
"ageCat7","1.00013466489648","0.999924990686707","",""
"ageCat8","0.999641437456307","1.00023811213562","",""
"","","","",""
"ageCat1","1.00043196544276","1.00052826201796","relative.cycle.speed",""
"ageCat2","0.999810676804839","1.00064203786288","",""
"ageCat3","0.999976514413827","1","",""
"ageCat4","1.00001082670558","0.999992477639784","",""
"ageCat5","0.999945056188128","1.00004274626428","",""
"ageCat6","1.0000983032853","0.999916746451317","",""
"ageCat7","0.999988422039805","0.999895721994838","",""
"ageCat8","1.00003504468197","0.999961801443905","",""
"","","","",""
"ageCat1","24.8397583429229","0","relative.walk.time","zcta6"
"ageCat2","41.8239355581128","0.289365170694285","",""
"ageCat3","3.91689042321954","1","",""
"ageCat4","7.06391881996025","1.85536914784083","",""
"ageCat5","0","3.94794235300564","",""
"ageCat6","0.27909474491753","9.95030860968721","",""
"ageCat7","11.7506712696586","22.3275795934024","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.cycle.time",""
"ageCat2","538.764705882353","0","",""
"ageCat3","0","1","",""
"ageCat4","0","0","",""
"ageCat5","0","0","",""
"ageCat6","0","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","1.01066406589834","0","relative.walk.speed",""
"ageCat2","1.00921402451314","1.02469701932525","",""
"ageCat3","1.00934362336422","1","",""
"ageCat4","1.00995632216211","1.00934362336422","",""
"ageCat5","0","1.01094197570157","",""
"ageCat6","0.94435992175614","1.01498015254484","",""
"ageCat7","1.00934362336422","1.01518691588785","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.cycle.speed",""
"ageCat2","1000.3275466754","0","",""
"ageCat3","0","1","",""
"ageCat4","0","0","",""
"ageCat5","0","0","",""
"ageCat6","0","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.walk.time","zcta7"
"ageCat2","1.12670476373415","1.88793150760112","",""
"ageCat3","1.1510283367512","1","",""
"ageCat4","1.3889169716454","0.421291441268391","",""
"ageCat5","1.73214897571409","1.7556665386093","",""
"ageCat6","2.0375245757158","0.686830777111223","",""
"ageCat7","0.226661544371879","2.98472177073791","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.cycle.time",""
"ageCat2","83.625","0","",""
"ageCat3","0","1","",""
"ageCat4","43.7543859649123","0","",""
"ageCat5","0","0","",""
"ageCat6","0","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.walk.speed",""
"ageCat2","1.00305602809599","1.00501930501931","",""
"ageCat3","1.00631854257427","1","",""
"ageCat4","1.00221505365264","1.00316159835568","",""
"ageCat5","1.00306137740575","1.00126778489502","",""
"ageCat6","1.00599464608892","1.00898316746291","",""
"ageCat7","1.02205353052811","1.00501930501931","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.cycle.speed",""
"ageCat2","1000","0","",""
"ageCat3","0","1","",""
"ageCat4","1000.80192461909","0","",""
"ageCat5","0","0","",""
"ageCat6","0","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0.307406363075534","0.271127129468607","relative.walk.time","zcta8"
"ageCat2","1.74108713879572","1.76996086247631","",""
"ageCat3","0.805181220067472","1","",""
"ageCat4","0.72222560126089","0.864710463099758","",""
"ageCat5","0.707840228754606","0.812816197729584","",""
"ageCat6","0.57016915759936","0.695792080544289","",""
"ageCat7","0.546646363626958","0.538738081112074","",""
"ageCat8","0.531007595708485","0.500463736952869","",""
"","","","",""
"ageCat1","0.370492974207352","0.228083048340189","relative.cycle.time",""
"ageCat2","1.9025062812659","0.741523561394904","",""
"ageCat3","2.29752574222042","1","",""
"ageCat4","1.16330416955363","0.776168941357449","",""
"ageCat5","0.864559431965318","0.514441468887621","",""
"ageCat6","0.642578337141613","0.281100863374796","",""
"ageCat7","0.731506312852807","0.285761149764213","",""
"ageCat8","0.305959988184672","0.267707541334531","",""
"","","","",""
"ageCat1","0.999713276532738","1.00029601818842","relative.walk.speed",""
"ageCat2","1.00029788648348","1.00017219959209","",""
"ageCat3","1.00023265537564","1","",""
"ageCat4","1.00021475843911","1.0003080497128","",""
"ageCat5","1.00034052512547","1.00034841983139","",""
"ageCat6","1.00019607141794","1.00034337293788","",""
"ageCat7","1.00013790032397","1.00018582674119","",""
"ageCat8","1.00039061644821","1.00012094309049","",""
"","","","",""
"ageCat1","1.00012176155393","0.999943899196173","relative.cycle.speed",""
"ageCat2","1.00011836193838","0.999996279229331","",""
"ageCat3","1.00003306508352","1","",""
"ageCat4","0.999929915382473","0.999970568868465","",""
"ageCat5","1.0000702118341","1.00004314120407","",""
"ageCat6","1.00012630215081","0.999957196848495","",""
"ageCat7","0.999933553914412","1.00003888769234","",""
"ageCat8","0.999886326458524","0.999521344226754","",""
"","","","",""
"ageCat1","0.286882889991882","0.211727697539318","relative.walk.time","zcta9"
"ageCat2","1.91057320597421","1.97438266678075","",""
"ageCat3","0.890319218715798","1","",""
"ageCat4","0.792964248479332","1.08812983466411","",""
"ageCat5","0.865329785667538","1.01241014860046","",""
"ageCat6","0.74762885885534","0.857210508061445","",""
"ageCat7","0.610425337354077","0.701388188464358","",""
"ageCat8","0.606357444480083","0.647188336827565","",""
"","","","",""
"ageCat1","0.764818794320554","0.134777765366361","relative.cycle.time",""
"ageCat2","2.81414872196116","1.31034978243959","",""
"ageCat3","2.34100105061291","1","",""
"ageCat4","2.17787316608044","0.826479880275497","",""
"ageCat5","2.29114706388587","0.526133206149242","",""
"ageCat6","1.35545430054369","0.394653507776986","",""
"ageCat7","1.22433783442568","0.256389650536272","",""
"ageCat8","0.969779286213834","0.469708607301838","",""
"","","","",""
"ageCat1","1.00013805558564","1.00012227632664","relative.walk.speed",""
"ageCat2","1.00000759216687","1.00004511377742","",""
"ageCat3","0.999997837001957","1","",""
"ageCat4","1.0000208225572","1.00024422767507","",""
"ageCat5","1.00008103698782","1.0001099199346","",""
"ageCat6","0.999881971661147","1.00030842281312","",""
"ageCat7","1.00015810489034","1.00030588615614","",""
"ageCat8","0.99962505294814","0.999914779666548","",""
"","","","",""
"ageCat1","1.0003470810073","1.00016078286232","relative.cycle.speed",""
"ageCat2","1.00004209619203","0.999977511131708","",""
"ageCat3","1.00007571523451","1","",""
"ageCat4","1.00002858635407","0.999964123051152","",""
"ageCat5","1.00004355389295","1.00007263090848","",""
"ageCat6","1.00017034016495","1.00014691868844","",""
"ageCat7","0.999915865714505","0.999492513080315","",""
"ageCat8","1.00059638006275","1.00034467798654","",""
"","","","",""
"ageCat1","0","0","relative.walk.time","zcta10"
"ageCat2","0.803546556513295","1.17433183975602","",""
"ageCat3","0.805715696962289","1","",""
"ageCat4","0.267281514147635","0.746139218351367","",""
"ageCat5","1.54527151548123","0.701267226839682","",""
"ageCat6","0.687941230311279","3.18459379199971","",""
"ageCat7","0.479996353304058","0","",""
"ageCat8","0.702546102846955","0.246094091990799","",""
"","","","",""
"ageCat1","43.1351351351351","0","relative.cycle.time",""
"ageCat2","13.2857142857143","0","",""
"ageCat3","38.1044776119403","1","",""
"ageCat4","16.034188034188","15.5660377358491","",""
"ageCat5","0","29.0340909090909","",""
"ageCat6","0","0","",""
"ageCat7","0","0","",""
"ageCat8","468","0","",""
"","","","",""
"ageCat1","0","0","relative.walk.speed",""
"ageCat2","1.00133090023794","1.00208883779003","",""
"ageCat3","0.999387010691349","1","",""
"ageCat4","1.00261650853297","0.998253766803156","",""
"ageCat5","1.00012808478975","0.999348472176307","",""
"ageCat6","1.00069625797994","0.999584830246583","",""
"ageCat7","1.00659159266402","0","",""
"ageCat8","0.999151312461481","0.996063522721949","",""
"","","","",""
"ageCat1","1000","0","relative.cycle.speed",""
"ageCat2","1000","0","",""
"ageCat3","1000","1","",""
"ageCat4","997.867803837953","1000","",""
"ageCat5","0","1000.39138943249","",""
"ageCat6","0","0","",""
"ageCat7","0","0","",""
"ageCat8","1000","0","",""
"","","","",""
"ageCat1","0.341231639026046","0","relative.walk.time","zcta11"
"ageCat2","1.37989501297733","1.27291537800452","",""
"ageCat3","1.80121019376528","1","",""
"ageCat4","2.90661088032586","2.19925962443995","",""
"ageCat5","1.92104586993837","2.03921658554773","",""
"ageCat6","1.55184344219001","5.79707363474927","",""
"ageCat7","1.33365823858816","0.607747172586173","",""
"ageCat8","0.105104298257192","0","",""
"","","","",""
"ageCat1","0","0","relative.cycle.time",""
"ageCat2","0.400732330018812","10.769928261996","",""
"ageCat3","0.214872023436448","1","",""
"ageCat4","0","0.795096093402363","",""
"ageCat5","0.0580978541441415","1.6852750444843","",""
"ageCat6","0.0337857545258767","0","",""
