"","zcta1","zcta2","zcta3","zcta4","zcta5","zcta6","zcta7","zcta8","zcta9","zcta10","zcta11","zcta12","zcta13","zcta14","zcta15","zcta16","zcta17","zcta18","zcta19","zcta20","zcta21","zcta22","zcta23","zcta24","zcta25","zcta26","zcta27","zcta28","zcta29","zcta30","zcta31","zcta32","zcta33","zcta34","zcta35","zcta36","zcta37","zcta38","zcta39","zcta40","zcta41","zcta42","zcta43","zcta44","zcta45","zcta46","zcta47","zcta48","zcta49","zcta50","zcta51","zcta52","zcta53","zcta54","zcta55","zcta56","zcta57","zcta58","zcta59","zcta60","zcta61","zcta62","zcta63","zcta64","zcta65","zcta66","zcta67","zcta68","zcta69","zcta70","zcta71","zcta72","zcta73","zcta74","zcta75","zcta76","zcta77","zcta78","zcta79","zcta80","zcta81","zcta82","zcta83","zcta84","zcta85","zcta86","zcta87","zcta88","zcta89","zcta90","zcta91","zcta92","zcta93","zcta94","zcta95","zcta96","zcta97","zcta98","zcta99","zcta100","zcta101","zcta102","zcta103","zcta104","zcta105","zcta106","zcta107","zcta108","zcta109","zcta110","zcta111","zcta112","zcta113","zcta114","zcta115","zcta116","zcta117","zcta118","zcta119","zcta120","zcta121","zcta122","zcta123","zcta124","zcta125","zcta126","zcta127","zcta128","zcta129","zcta130","zcta131","zcta132","zcta133","zcta134","zcta135","zcta136","zcta137","zcta138","zcta139","zcta140","zcta141","zcta142","zcta143","zcta144","zcta145","zcta146","zcta147","zcta148","zcta149","zcta150","zcta151"
"maleAgeCat1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"maleAgeCat2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"maleAgeCat3",0.016156413,0.023790762,0.0514164528,0.0914701536,0.0636314112,0.0008166978,0.0008522064,0.1951907742,0.1856389608,0.0039414546,0.008522064,0.0033022998,0.4075322022,0.1617061644,0.0156592926,0.082735038,0.1476802674,0.01065258,0.2298826764,0.022370418,0.0149491206,0.1284346062,0.0018464472,0.2693682396,0.0160498872,0.1096860654,0.0098713908,0.0104040198,0.0050777298,0.0028051794,0.0011362752,0.0079184178,0.0011007666,0.0539375634,0.0057879018,0.007811892,0.1240315398,0.0387753912,0.0017399214,0.0046516266,0.0027341622,0.0146650518,0.0174347226,0.0020239902,0.1288607094,0.103152483,0.1116390384,0.0065335824,0.0038349288,0.1092599622,0.0025211106,0.006214005,0.2017953738,0.01420344,0.0615364038,0.0033378084,0.087528699,0.1618837074,0.0002485602,0.0004971204,0.0046516266,0.090191844,0.0142744572,0.008522064,0.009232236,0.1237119624,0.0174702312,0.0199558332,0.0368934354,0.1449816138,0.0009587322,0.0003905946,0.002663145,0.0028761966,0.013138182,0.0281938284,0.0009942408,0.0002130516,0.0003905946,0.0002130516,0.0001065258,0.0135642852,0.000532629,0.0241103394,0.001242801,3.55086e-05,0.0018109386,0.0251045802,0.0629922564,0.1462599234,0.1495977318,0.2225679048,0.1004538294,0.1156515102,0.099246537,0.0398761578,0.071549829,0.106880886,0.0765920502,0.0592638534,0.056636217,0.0646966692,0.1394777808,0.115225407,0.156770469,0.325436319,0.1423539774,0.1562023314,0.1824786954,0.0881323452,0.254419119,0.0947014362,0.0034088256,0.1354298004,0.061074792,0.174169683,0.1234278936,0.1250612892,0.0006391548,0.1694470392,0.0843684336,0.1382349798,0.182336661,0.0608617404,0.1335478446,0.0186775236,0.0014558526,0.0058944276,0.0036928944,0.0017044128,0.0009232236,0.0002485602,0.0017399214,0.0039414546,0.0012072924,0.0422197254,0.0402667524,0.0018819558,0.0021660246,0.1056025764,0.0027696708,0.1034010432,0.0049001868,0.0001420344,0.0126765702,0.1704767886,0.1342580166,0.0134577594,0.0076698576,0,0.0659039616
"maleAgeCat4",0.253409655,0.322075497,0.622897281,1.22072608,0.806006193,0.008719472,0.021253713,2.545540857,2.383140691,0.055586634,0.152045793,0.041962459,1.635445967,1.198382433,0.213627064,1.122087053,2.179323033,0.141146453,3.22075497,0.276298269,0.183108912,1.822369648,0.028883251,5.67310647,0.237605612,1.583674102,0.119347773,0.155315595,0.055586634,0.045232261,0.01089934,0.097549093,0.012534241,1.218546212,0.069755776,0.117167905,2.488864289,0.497554871,0.035422855,0.019073845,0.021253713,0.324800332,0.209267328,0.035967822,1.559695554,1.441982682,1.596208343,0.088284654,0.047957096,1.418004134,0.043052393,0.099183994,2.75753302,0.188013615,0.79565182,0.043052393,1.13353136,2.53954622,0.001089934,0.009264439,0.058856436,1.233805288,0.251774754,0.126432344,0.136786717,2.279051994,0.247959985,0.264308995,0.455592412,1.903024764,0.019618812,0.012534241,0.035422855,0.034877888,0.184743813,0.404365514,0.011444307,0.005994637,0.007084571,0.006539604,0.002179868,0.150410892,0.001634901,0.402730613,0.02724835,0.003814769,0.012534241,0.673034245,0.71390677,2.961350678,2.875790859,3.217485168,1.928093246,1.948801992,1.308465767,0.676849014,0.942247943,1.400020223,1.22072608,0.802736391,1.233805288,0.959686887,1.938992586,1.739534664,1.992399352,3.719399775,1.664329218,1.673593657,1.908474434,1.083394396,2.956990942,1.376586642,0.046867162,1.70029704,0.525893155,2.275237225,1.663784251,2.731374604,0.011444307,1.922098609,1.047971541,1.713376248,2.533006616,0.941702976,1.586943904,0.08174505,0.023978548,0.094279291,0.046867162,0.032153053,0.016893977,0.003814769,0.023433581,0.071935644,0.01634901,0.528073023,0.543332099,0.039782591,0.040872525,1.595663376,0.075205446,1.257238869,0.085559819,0.003269802,0.143871288,2.186952571,1.849617998,0.197278054,0.089919555,0.000544967,1.232715354
"maleAgeCat5",2.67501483,3.160414872,7.06841667,11.695660866,4.492607688,0.095662782,0.251557686,23.196453102,15.267071394,0.5314599,1.849480452,0.329505138,9.311177448,8.641537974,1.760903802,7.344775818,13.62308877,1.87782498,23.01221367,2.6572995,1.215271638,16.478799966,0.38973726,30.367618686,3.1887594,10.377640314,1.75381767,1.590836634,0.627122682,0.563347494,0.184239432,1.059376734,0.134636508,7.819546662,0.988515414,0.825534378,12.27672369,6.012583002,0.340134336,0.166524102,0.205497828,1.39951107,3.142699542,0.333048204,10.18631475,11.096882712,13.406961744,1.15149645,0.768845322,16.347706524,0.357849666,1.02748914,18.427486266,2.352595824,6.122418048,0.42516792,9.187170138,13.51679679,0.031887594,0.038973726,0.538546032,12.673547082,2.434086342,1.899083376,0.995601546,11.30238054,1.778619132,3.146242608,3.971776986,13.573485846,0.180696366,0.120464244,0.648381078,0.457055514,2.140011864,4.630787262,0.226756224,0.102748914,0.166524102,0.095662782,0.024801462,2.331337428,0.010629198,4.156016418,0.244471554,0.049602924,0.092119716,2.065607478,11.220890022,16.818934302,12.517652178,22.105188774,17.52046137,11.972020014,7.040072142,4.131214956,4.528038348,8.719485426,5.463407772,4.19853321,7.426266336,5.909834088,11.263406814,12.496393782,13.963223106,20.340741906,9.077335092,8.581305852,11.30238054,7.146364122,18.136954854,9.112765752,0.435797118,15.933167802,2.926572516,11.429930916,6.469638516,9.286375986,0.162981036,11.10751191,6.001953804,10.08002277,15.437138562,8.914354056,10.629198,0.099205848,0.276359148,1.130238054,0.609407352,0.325962072,0.138179574,0.024801462,0.343677402,0.499572306,0.31887594,3.48992001,3.461575482,0.414538722,0.410995656,7.862063454,0.8857665,11.40867252,0.754673058,0.049602924,1.413683334,12.29443902,12.740865336,1.442027862,0.545632164,0.003543066,8.287231374
"maleAgeCat6",8.58542544,4.024418175,12.7191488,17.101293035,4.998228005,0.07949468,0.29810505,29.880062845,18.20428172,0.705515285,3.12016619,0.506778585,13.83207432,8.80403581,2.42458774,7.522184095,16.365967245,2.94130316,23.11307821,2.92142949,1.47065158,24.40486676,0.785009965,25.25943457,4.41195474,11.139192035,2.752503295,2.40471407,0.9936835,0.864504645,0.367662895,1.500462085,0.168926195,6.766984635,1.92774599,0.87444148,30.138420555,7.283700055,0.566399595,0.069557845,0.11924202,1.063241345,4.779617635,0.506778585,9.867277155,14.259358225,15.730009805,1.70913562,1.182483365,25.59728696,0.47696808,1.878061815,21.513247775,3.10029252,6.63780578,0.427283905,10.87089749,12.99738018,0.01987367,0.03974734,0.61608377,15.99830435,5.18702787,3.21953454,1.639577775,12.669464625,1.72900929,4.600754605,4.07410235,17.220535055,0.168926195,0.13911569,0.785009965,0.7949468,3.45801858,6.607995275,0.43722074,0.03974734,0.21861037,0.149052525,0.029810505,3.65675528,0.009936835,6.5583111,0.33785239,0.089431515,0.03974734,1.88799865,12.828453985,17.677629465,9.887150825,18.32352374,18.20428172,9.708287795,6.06146935,3.00092417,5.177091035,8.62517278,6.508626925,4.620628275,9.887150825,8.654983285,12.073254525,15.054305025,17.25034556,22.31813141,8.535741265,10.51317143,14.597210615,8.32706773,21.08596387,8.158141535,0.63595744,23.321751745,2.9810505,11.139192035,6.607995275,11.68571796,0.347789225,10.31443473,6.409258575,9.171698705,12.73902247,12.629717285,11.993759845,0.029810505,0.387536565,1.997303835,1.03343084,0.705515285,0.168926195,0.109305185,0.51671542,0.91418882,0.49684175,4.82930181,4.35233373,0.387536565,0.67570478,7.780541805,1.33153589,18.850175995,1.182483365,0.109305185,1.66938828,13.861884825,16.683945965,2.48420875,1.03343084,0.009936835,9.83746665
"maleAgeCat7",13.974332673,6.57021066,18.244969602,22.641956736,7.858982751,0.151620246,0.530670861,44.803782693,24.208699278,1.162421886,3.689425986,0.353780574,17.309978085,10.86611763,3.891586314,9.324645129,25.952332107,3.411455535,28.454066166,3.386185494,2.350113813,35.327517318,1.238232009,31.309580799,5.786839389,14.681893821,3.28510533,3.461995617,0.859181394,1.01080164,0.606480984,1.364582214,0.176890287,7.126151562,2.956594797,1.26350205,61.936870491,10.259636646,0.404320656,0.075810123,0.176890287,0.934991517,6.443860455,0.707561148,16.349716527,18.143889438,18.522940053,2.046873321,1.187691927,34.87265658,0.934991517,2.552274141,33.305914038,3.765236109,7.783172628,0.808641312,13.418391771,17.43632829,0.075810123,0.075810123,0.783371271,22.515606531,8.212763325,3.28510533,1.76890287,13.797442386,2.855514633,5.988999717,4.851847872,21.353184645,0.303240492,0.202160328,0.657021066,0.732831189,5.786839389,7.530472218,0.454860738,0.101080164,0.328510533,0.126350205,0.075810123,5.129818323,0,8.136953202,0.353780574,0.050540082,0.101080164,1.718362788,15.1620246,38.713702812,12.230699844,22.945197228,21.681695178,13.620552099,6.772370988,2.097413403,6.848181111,10.36071681,5.938459635,5.837379471,10.588147179,9.248835006,15.1620246,20.771973702,29.136357273,30.020808708,11.598948819,15.566345256,21.580615014,10.259636646,27.165294075,9.021404637,0.581210943,34.594686129,4.220096847,11.422058532,6.595480701,11.093547999,0.277970451,12.609750459,11.11881804,12.710830623,13.671092181,19.255771242,17.663758659,0,0.783371271,2.653354305,1.592012583,0.783371271,0.126350205,0.025270041,0.530670861,1.794172911,0.985531599,7.656822423,6.646020783,0.859181394,0.682291107,10.663957302,1.238232009,29.81864838,0.960261558,0.176890287,2.173223526,21.833315424,27.013673829,2.249033649,1.314042132,0,8.516003817
"maleAgeCat8",23.832960455,13.387024596,46.448918674,61.458612918,18.052199834,0.202833706,0.507084265,160.340044593,53.345264678,2.535421325,5.172259503,2.231170766,48.477255734,20.486204306,11.257270683,17.545115569,62.168530889,6.693512298,54.156599502,5.375093209,3.549589855,77.685309398,2.231170766,66.225205009,9.533184182,30.627889606,4.563758385,6.592095445,1.825503354,1.419835942,0.405667412,2.434004472,0.507084265,12.981357184,3.955257267,2.231170766,99.185682234,19.370618923,0.709917971,0.202833706,1.01416853,1.622669648,13.285607743,1.419835942,37.118568198,48.477255734,45.231916438,5.07084265,2.535421325,76.468307162,1.217002236,6.186428033,66.428038715,5.07084265,16.023862774,1.825503354,31.642058136,46.448918674,0.202833706,0.304250559,1.217002236,50.607009647,12.981357184,4.462341532,3.448173002,32.656226666,5.07084265,9.533184182,9.938851594,62.269947742,0.405667412,0.912751677,1.115585383,1.622669648,10.1416853,14.705443685,1.318419089,0,0.405667412,0.101416853,0.101416853,8.316181946,0,14.19835942,0.304250559,0.202833706,0.202833706,2.434004472,29.309470517,102.532438383,18.660700952,46.246084968,33.264727784,35.698732256,14.502609979,5.172259503,19.26920207,20.587621159,15.719612215,14.806860538,27.991051428,30.019388488,40.262490641,65.211036479,92.593586789,64.501118508,30.729306459,61.052945506,41.986577142,19.674869482,63.284116272,14.096942567,0.811334824,91.376584553,7.504847122,23.123042484,10.344519006,17.747949275,0.608501118,26.266964927,24.644295279,26.165548074,20.790454865,63.89261739,32.960477225,0,1.217002236,3.143922443,3.346756149,1.318419089,0.608501118,0.101416853,1.419835942,2.941088737,1.217002236,17.849366128,12.271439213,0.912751677,0.709917971,16.530947039,2.434004472,72.411633042,2.129753913,0,2.738255031,47.260253498,49.795674823,2.941088737,1.318419089,0,9.938851594
"femaleAgeCat1",0.00207612,0.0025190256,0.00588234,0.0088857936,0.0079999824,2.76816e-05,0.0001107264,0.0216054888,0.0202490904,0.000415224,0.0011349456,0.0004013832,0.0094394256,0.0089688384,0.0020899608,0.0100207392,0.0176885424,0.0011903088,0.0269480376,0.002214528,0.0015640104,0.0124428792,0.0001937712,0.0302975112,0.0020484384,0.0142006608,0.000830448,0.0010795824,0.000484428,0.0002906568,4.15224e-05,0.0007197216,0.0001107264,0.0025467072,0.0005397912,0.0011626272,0.0239999472,0.0038615832,0.0001799304,0.0004429056,0.0003321792,0.002560548,0.0019792344,0.0001937712,0.0171349104,0.0112248888,0.011141844,0.000622836,0.0003737016,0.0117923616,0.0002352936,0.0009965376,0.0260345448,0.0014809656,0.0068927184,0.0004013832,0.0091902912,0.0200830008,1.38408e-05,6.9204e-05,0.000415224,0.0114463416,0.001937712,0.000622836,0.0009411744,0.01937712,0.0022283688,0.002283732,0.0036816528,0.0184221048,0.0001799304,2.76816e-05,0.0002352936,0.0002906568,0.0016470552,0.0029342496,4.15224e-05,2.76816e-05,6.9204e-05,4.15224e-05,0,0.0010657416,1.38408e-05,0.0030864984,2.76816e-05,4.15224e-05,1.38408e-05,0.0061868376,0.0055916832,0.0251764152,0.023944584,0.0287750232,0.0148234968,0.0146850888,0.0129965112,0.001591692,0.0009273336,0.014740452,0.0031972248,0.0062837232,0.0090242016,0.0062837232,0.0192663936,0.0151279944,0.0198477072,0.0470864016,0.018615876,0.0146850888,0.0154878552,0.009273336,0.0291902472,0.011695476,0.0003183384,0.0139376856,0.0076678032,0.0200137968,0.0163598256,0.0237784944,8.30448e-05,0.0234878376,0.0103944408,0.0188373288,0.0231418176,0.0081937536,0.017508612,0.001799304,0.0002214528,0.0008581296,0.0003598608,0.000138408,0.0001245672,2.76816e-05,0.000138408,0.0008442888,8.30448e-05,0.006020748,0.0059100216,0.0002491344,0.0001522488,0.0175916568,0.0004429056,0.0130518744,0.0005397912,6.9204e-05,0.0012871944,0.0251625744,0.0149895864,0.0007889256,0.000276816,0,0.0076539624
"femaleAgeCat2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
