,bike,walk,motorcycle,car,truck,bus,one.party,,
bike,0,0,0,0.0003531,4.50766E-05,0,1.76576E-05,local fatal,zcta1
walk,0,8.52569E-06,6.60326E-06,0.000217907,0.000165081,0,0,local fatal,
motorcycle,1.50255E-05,0,0.000127858,0.001022862,0.000434716,5.11431E-05,0.003273158,local fatal,
car,0.000330562,0.001287635,0.00148315,0.004884165,0.00148315,0,0.013194917,local fatal,
truck,0.000165281,0.000297147,0.000741575,0.002787298,0.000588146,0,0.003222015,local fatal,
bus,1.50255E-05,0,0,5.11431E-05,0.000204572,0,5.11431E-05,local fatal,
bike,0,0,0,3.00511E-05,0,0,0,arterial fatal,
walk,0,1.70514E-06,0,3.30163E-05,1.32065E-05,0,0,arterial fatal,
motorcycle,0,0,5.11431E-05,0.000460288,0.000281287,0,0.001534293,arterial fatal,
car,6.01021E-05,0.00028394,0.000460288,0.003707874,0.001355292,0,0.005216595,arterial fatal,
truck,1.50255E-05,9.90489E-05,0.000588146,0.002403725,0.000716003,0,0.001227434,arterial fatal,
bus,0,0,0,0.000102286,0,0,0,arterial fatal,
bike,0,0,0,0,0,0,0,highway fatal,
walk,0,0,0,7.26358E-05,3.30163E-05,0,0,highway fatal,
motorcycle,0,0,0,0.000281287,5.11431E-05,0,0.000818289,highway fatal,
car,0,0.000270734,0.000102286,0.003298729,0.000946147,0,0.006341743,highway fatal,
truck,1.50255E-05,6.60326E-05,0.000306859,0.00148315,0.00066486,0,0.001636579,highway fatal,
bus,0,0,0,5.11431E-05,0,0,5.11431E-05,highway fatal,
bike,3.31081E-05,3.87999E-06,0,0.000751276,0.000292998,1.50255E-05,0.000203063,local serious,
walk,0,1.87565E-05,6.60326E-06,0.001122554,0.00026413,0,0,local serious,
motorcycle,7.51276E-05,9.24456E-05,0.001227434,0.009180184,0.001611007,5.11431E-05,0.018667227,local serious,
car,0.001825602,0.002694129,0.006444029,0.026568835,0.00695546,5.11431E-05,0.041477045,local serious,
