,,zcta1,,zcta2,,zcta3,,zcta4,,zcta5,,zcta6,,zcta7,,zcta8,,zcta9,,zcta10,,zcta11,,zcta12,,zcta13,,zcta14,,zcta15,,zcta16,,zcta17,,zcta18,,zcta19,,zcta20,,zcta21,,zcta22,,zcta23,,zcta24,,zcta25,,zcta26,,zcta27,,zcta28,,zcta29,,zcta30,,zcta31,,zcta32,,zcta33,,zcta34,,zcta35,,zcta36,,zcta37,,zcta38,,zcta39,,zcta40,,zcta41,,zcta42,,zcta43,,zcta44,,zcta45,,zcta46,,zcta47,,zcta48,,zcta49,,zcta50,,zcta51,,zcta52,,zcta53,,zcta54,,zcta55,,zcta56,,zcta57,,zcta58,,zcta59,,zcta60,,zcta61,,zcta62,,zcta63,,zcta64,,zcta65,,zcta66,,zcta67,,zcta68,,zcta69,,zcta70,,zcta71,,zcta72,,zcta73,,zcta74,,zcta75,,zcta76,,zcta77,,zcta78,,zcta79,,zcta80,,zcta81,,zcta82,,zcta83,,zcta84,,zcta85,,zcta86,,zcta87,,zcta88,,zcta89,,zcta90,,zcta91,,zcta92,,zcta93,,zcta94,,zcta95,,zcta96,,zcta97,,zcta98,,zcta99,,zcta100,,zcta101,,zcta102,,zcta103,,zcta104,,zcta105,,zcta106,,zcta107,,zcta108,,zcta109,,zcta110,,zcta111,,zcta112,,zcta113,,zcta114,,zcta115,,zcta116,,zcta117,,zcta118,,zcta119,,zcta120,,zcta121,,zcta122,,zcta123,,zcta124,,zcta125,,zcta126,,zcta127,,zcta128,,zcta129,,zcta130,,zcta131,,zcta132,,zcta133,,zcta134,,zcta135,,zcta136,,zcta137,,zcta138,,zcta139,,zcta140,,zcta141,,zcta142,,zcta143,,zcta144,,zcta145,,zcta146,,zcta147,,zcta148,,zcta149,,zcta150,,zcta151
PersonDistance(miles per day),bike,0.020890052,,0.089609756,,0.040066015,,0.049556516,,0.143425028,,0.006601942,,0.047456,,0.09399478,,0.0874459,,0.021007533,,0.024416267,,0.022905028,,2.041282057,,1.539569006,,0.058802018,,0.263645833,,0.073633919,,0.029447501,,0.072108884,,0.041749493,,0.03318974,,0.068585439,,0,,0.067916911,,0.039831981,,0.043854889,,0.030684974,,0.03528681,,0.015840054,,0.090607287,,0.068764045,,0.037382949,,0.00490566,,0,,0.023412385,,0.03128067,,0.042825639,,0.037929519,,0.022713258,,0.072446449,,0,,0.056974209,,0.025284908,,0.022930514,,0.075972146,,0.067800047,,0.072680815,,0.059778086,,0.026095297,,0.044147713,,0.028443735,,0,,0.079842467,,0.036892863,,0.060918325,,0.050956416,,0.064321535,,0.082086494,,0.024059041,,0,,0.0161994,,0.04704166,,0.009235719,,0.027559793,,0.030264901,,0.109605969,,0.033518851,,0.02679497,,0.144359942,,0.165463428,,0,,0.023155894,,0,,0.05964539,,0.041091429,,0.052212914,,0,,0.049061947,,0,,0,,0,,0.037285526,,0,,0.047993772,,0,,0,,0.063488372,,0.044949097,,0.04476156,,0.056566586,,0.06680892,,0.07872825,,0.048689999,,0.053751489,,0.327478035,,0.521660494,,0.546750785,,0.144497056,,0.352871172,,0.189386262,,0.209907324,,0.149442666,,0.127631932,,0.121333723,,0.099907979,,0.099935961,,0.127321577,,0.154332254,,0.116844673,,0.093577791,,0.088749638,,0.061378415,,0.060150602,,0.071890122,,0.098230954,,0.144871695,,0.105288837,,0.067598168,,0.014615385,,0.100310384,,0.074524265,,0.080737401,,0.0521794,,0.099838177,,0.078580973,,0.053509174,,0.05038835,,0.014634812,,0.044835566,,0.023525092,,0.022312984,,0,,0.010384615,,0.029708995,,0.023484163,,0.006969697,,0.039219517,,0.022918108,,0,,0.062591389,,0.02556962,,0.128465347,,0.005369565,,0.024090909,,0.062484171,,0.099838312,,0.079511208,,0,,0,,0,,0.001016306
,walk,0.026034031,,0.264146341,,0.151644221,,0.183517851,,0.287348365,,0.062087379,,0.029952,,0.21387833,,0.196363901,,0.108418079,,0.02889422,,0.064,,0.352074974,,0.269914037,,0.084823455,,0.020729167,,0.197077333,,0.056439707,,0.224839419,,0.092261663,,0.176264387,,0.18621877,,0.083,,0.210986813,,0.024185014,,0.231062952,,0.047479173,,0.043529412,,0.053548387,,0.067034413,,0.117228464,,0.05629979,,0.13990566,,0,,0.080158103,,0.097947337,,0.14926819,,0.094646052,,0.03373073,,0.281330327,,0.0672,,0.148125499,,0.060098819,,0.055876133,,0.261087187,,0.224187018,,0.177099147,,0.088165742,,0.044084158,,0.131986303,,0.050798085,,0.070441176,,0.22369637,,0.081430826,,0.15300755,,0.094915254,,0.185986914,,0.243384151,,0.103210332,,0.204651163,,0.031364318,,0.112484061,,0.043496547,,0.057333549,,0.149649953,,0.236098267,,0.160915619,,0.064439787,,0.272707471,,0.334314202,,0.11047619,,0.046273764,,0.012507804,,0.077943262,,0.085352381,,0.142110529,,0,,0.015256637,,0.004803493,,0.022807571,,0,,0.089296084,,0,,0.065382562,,0.01,,0,,0,,0.086836344,,0.103106959,,0.150588405,,0.244677117,,0.255098729,,0.141268929,,0.156731432,,0.297713896,,1.065097222,,1.156861925,,0.34075031,,0.861846587,,0.559469667,,0.525348069,,0.380740543,,0.361572886,,0.256282044,,0.277516891,,0.278607482,,0.303629894,,0.316271036,,0.238855307,,0.244541766,,0.235175343,,0.185379454,,0.086315261,,0.223441327,,0.198689356,,0.2393909,,0.215822948,,0.234106545,,0.063264957,,0.276373671,,0.258063983,,0.264748698,,0.199903814,,0.203304717,,0.235822792,,0.126318807,,0.032572816,,0.045576792,,0.016577345,,0.007858017,,0.021031814,,0,,0.012846154,,0.050388007,,0.00479638,,0.232954545,,0.210057402,,0.098708189,,0.018692308,,0.186062758,,0.02943038,,0.020841584,,0.015978261,,0.008595041,,0.171348231,,0.336247419,,0.220237015,,0,,0.006389381,,0,,0.01963595
,motorcycle,0.495903908,,0.302278467,,0.363794584,,0.369970431,,0.201984783,,0.667422538,,0.617333211,,0.286318499,,0.305627008,,0.581211663,,0.675918281,,0.686781229,,0.147986407,,0.253922964,,0.42639351,,0.589906176,,0.311094516,,0.526302155,,0.303533652,,0.423585714,,0.434768803,,0.323648048,,0.546646667,,0.360515556,,0.716851299,,0.331988253,,0.591423657,,0.581332846,,0.568458429,,0.593678615,,0.597993071,,0.636974059,,0.621742049,,0.737482784,,0.558941982,,0.666685586,,0.424254786,,0.44069042,,0.634655719,,0.202799227,,0.631488571,,0.353407449,,0.502170237,,0.816257618,,0.232910433,,0.278537026,,0.340104184,,0.479327635,,0.678462668,,0.450369397,,0.619713636,,0.691889076,,0.284112599,,0.549568833,,0.334426442,,0.685448322,,0.331612805,,0.28147361,,0.814464101,,0.651509468,,0.6712216,,0.485647147,,0.738343391,,0.5915301,,0.592915272,,0.303420983,,0.49594064,,0.597309067,,0.296116573,,0.279309703,,0.656362585,,0.607030527,,0.75527293,,0.565705225,,0.523203341,,0.612414587,,0.71042651,,0.809133856,,0.710878665,,0.908020099,,0.576115,,0.54670275,,1.011029493,,0.568329922,,0.792297835,,0.903394417,,0.59997309,,0.450261009,,0.387836316,,0.372588496,,0.441171573,,0.37336669,,0.442517242,,0.344745315,,0.28829887,,0.132101407,,0.109707412,,0.175289432,,0.191212846,,0.170836535,,0.216765071,,0.227471313,,0.188882173,,0.228990396,,0.227429546,,0.217946761,,0.16860218,,0.204435007,,0.262010388,,0.271946353,,0.22970087,,0.341503334,,0.481772117,,0.337728378,,0.24863805,,0.264304756,,0.296984789,,0.347264426,,0.526318706,,0.220337687,,0.251864105,,0.264704117,,0.323873519,,0.271918922,,0.296194889,,0.46027844,,0.65196387,,0.61414881,,0.527792918,,0.558830792,,0.57960355,,0.466077041,,0.576460952,,0.71939811,,0.568049192,,0.207963203,,0.30826018,,0.650018537,,0.572472637,,0.38634848,,0.621512309,,0.474640806,,0.651682919,,0.56914026,,0.412486161,,0.178311407,,0.238826214,,0.665136526,,0.74566086,,0.96063373,,0.766383228
,car,22.31567586,,13.60253101,,16.37075629,,16.64866939,,9.089315252,,30.03401422,,27.77999451,,12.88433244,,13.75321534,,26.15452482,,30.41632263,,30.90515531,,6.659388307,,11.42653338,,19.18770796,,26.5457779,,13.99925321,,23.68359697,,13.65901433,,19.06135714,,19.56459611,,14.56416214,,24.5991,,16.22320004,,32.25830848,,14.93947139,,26.61406455,,26.15997808,,25.58062932,,26.71553767,,26.9096882,,28.66383266,,27.97839218,,33.18672527,,25.15238919,,30.00085137,,19.09146539,,19.83106892,,28.55950734,,9.125965212,,28.41698571,,15.90333519,,22.59766066,,36.73159279,,10.48096947,,12.53416618,,15.30468828,,21.56974359,,30.53082006,,20.26662285,,27.88711361,,31.1350084,,12.78506693,,24.73059751,,15.04918988,,30.84517451,,14.92257621,,12.66631245,,36.65088455,,29.31792608,,30.204972,,21.85412161,,33.22545258,,26.61885449,,26.68118726,,13.65394423,,22.3173288,,26.87890803,,13.3252458,,12.56893661,,29.53631633,,27.31637371,,33.98728185,,25.45673513,,23.54415037,,27.55865639,,31.96919293,,36.41102351,,31.98953993,,40.86090446,,25.925175,,24.60162374,,45.49632719,,25.57484648,,35.6534026,,40.65274877,,26.99878904,,20.26174539,,17.45263422,,16.76648234,,19.85272078,,16.80150106,,19.91327589,,15.51353917,,12.97344917,,5.944563294,,4.936833533,,7.88802443,,8.604578051,,7.687644094,,9.75442821,,10.23620906,,8.499697788,,10.30456783,,10.23432958,,9.807604266,,7.58709812,,9.1995753,,11.79046748,,12.23758588,,10.33653916,,15.36765003,,21.67974527,,15.19777701,,11.18871227,,11.89371401,,13.36431553,,15.62689917,,23.68434176,,9.915195913,,11.33388473,,11.91168526,,14.57430837,,12.23635147,,13.32877002,,20.71252982,,29.33837413,,27.63669647,,23.75068131,,25.14738564,,26.08215975,,20.97346684,,25.94074286,,32.37291497,,25.56221364,,9.358344156,,13.87170808,,29.25083416,,25.76126868,,17.3856816,,27.96805393,,21.35883628,,29.32573137,,25.61131169,,18.56187725,,8.024013318,,10.74717964,,29.93114367,,33.55473869,,43.22851786,,34.48724525
,truck,1.487711724,,0.906835401,,1.091383753,,1.109911292,,0.60595435,,2.002267614,,1.851999634,,0.858955496,,0.916881023,,1.743634988,,2.027754842,,2.060343687,,0.44395922,,0.761768892,,1.279180531,,1.769718527,,0.933283547,,1.578906465,,0.910600955,,1.270757143,,1.304306408,,0.970944143,,1.63994,,1.081546669,,2.150553898,,0.995964759,,1.77427097,,1.743998539,,1.705375288,,1.781035844,,1.793979213,,1.910922177,,1.865226146,,2.212448352,,1.676825946,,2.000056758,,1.272764359,,1.322071261,,1.903967156,,0.608397681,,1.894465714,,1.060222346,,1.506510711,,2.448772853,,0.698731298,,0.835611079,,1.020312552,,1.437982906,,2.035388004,,1.35110819,,1.859140908,,2.075667227,,0.852337796,,1.6487065,,1.003279325,,2.056344967,,0.994838414,,0.84442083,,2.443392304,,1.954528405,,2.0136648,,1.456941441,,2.215030172,,1.774590299,,1.778745817,,0.910262949,,1.48782192,,1.791927202,,0.88834972,,0.837929108,,1.969087755,,1.821091581,,2.26581879,,1.697115675,,1.569610024,,1.83724376,,2.131279529,,2.427401568,,2.132635995,,2.724060297,,1.728345,,1.640108249,,3.033088479,,1.704989766,,2.376893506,,2.710183251,,1.799919269,,1.350783026,,1.163508948,,1.117765489,,1.323514719,,1.120100071,,1.327551726,,1.034235945,,0.864896611,,0.39630422,,0.329122236,,0.525868295,,0.573638537,,0.512509606,,0.650295214,,0.682413938,,0.566646519,,0.686971189,,0.682288639,,0.653840284,,0.505806541,,0.61330502,,0.786031165,,0.815839059,,0.689102611,,1.024510002,,1.445316351,,1.013185134,,0.745914151,,0.792914267,,0.890954368,,1.041793278,,1.578956117,,0.661013061,,0.755592316,,0.794112351,,0.971620558,,0.815756765,,0.888584668,,1.380835321,,1.955891609,,1.842446431,,1.583378754,,1.676492376,,1.73881065,,1.398231122,,1.729382857,,2.158194331,,1.704147576,,0.62388961,,0.924780539,,1.95005561,,1.717417912,,1.15904544,,1.864536928,,1.423922419,,1.955048758,,1.707420779,,1.237458484,,0.534934221,,0.716478643,,1.995409578,,2.236982579,,2.88190119,,2.299149683
,bus,0.495903908,,0.302278467,,0.363794584,,0.369970431,,0.201984783,,0.667422538,,0.617333211,,0.286318499,,0.305627008,,0.581211663,,0.675918281,,0.686781229,,0.147986407,,0.253922964,,0.42639351,,0.589906176,,0.311094516,,0.526302155,,0.303533652,,0.423585714,,0.434768803,,0.323648048,,0.546646667,,0.360515556,,0.716851299,,0.331988253,,0.591423657,,0.581332846,,0.568458429,,0.593678615,,0.597993071,,0.636974059,,0.621742049,,0.737482784,,0.558941982,,0.666685586,,0.424254786,,0.44069042,,0.634655719,,0.202799227,,0.631488571,,0.353407449,,0.502170237,,0.816257618,,0.232910433,,0.278537026,,0.340104184,,0.479327635,,0.678462668,,0.450369397,,0.619713636,,0.691889076,,0.284112599,,0.549568833,,0.334426442,,0.685448322,,0.331612805,,0.28147361,,0.814464101,,0.651509468,,0.6712216,,0.485647147,,0.738343391,,0.5915301,,0.592915272,,0.303420983,,0.49594064,,0.597309067,,0.296116573,,0.279309703,,0.656362585,,0.607030527,,0.75527293,,0.565705225,,0.523203341,,0.612414587,,0.71042651,,0.809133856,,0.710878665,,0.908020099,,0.576115,,0.54670275,,1.011029493,,0.568329922,,0.792297835,,0.903394417,,0.59997309,,0.450261009,,0.387836316,,0.372588496,,0.441171573,,0.37336669,,0.442517242,,0.344745315,,0.28829887,,0.132101407,,0.109707412,,0.175289432,,0.191212846,,0.170836535,,0.216765071,,0.227471313,,0.188882173,,0.228990396,,0.227429546,,0.217946761,,0.16860218,,0.204435007,,0.262010388,,0.271946353,,0.22970087,,0.341503334,,0.481772117,,0.337728378,,0.24863805,,0.264304756,,0.296984789,,0.347264426,,0.526318706,,0.220337687,,0.251864105,,0.264704117,,0.323873519,,0.271918922,,0.296194889,,0.46027844,,0.65196387,,0.61414881,,0.527792918,,0.558830792,,0.57960355,,0.466077041,,0.576460952,,0.71939811,,0.568049192,,0.207963203,,0.30826018,,0.650018537,,0.572472637,,0.38634848,,0.621512309,,0.474640806,,0.651682919,,0.56914026,,0.412486161,,0.178311407,,0.238826214,,0.665136526,,0.74566086,,0.96063373,,0.766383228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution by road type,bike,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53
,walk,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75
,motorcycle,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18
