,,zcta1,,zcta2,,zcta3,,zcta4,,zcta5,,zcta6,,zcta7,,zcta8,,zcta9,,zcta10,,zcta11,,zcta12,,zcta13,,zcta14,,zcta15,,zcta16,,zcta17,,zcta18,,zcta19,,zcta20,,zcta21,,zcta22,,zcta23,,zcta24,,zcta25,,zcta26,,zcta27,,zcta28,,zcta29,,zcta30,,zcta31,,zcta32,,zcta33,,zcta34,,zcta35,,zcta36,,zcta37,,zcta38,,zcta39,,zcta40,,zcta41,,zcta42,,zcta43,,zcta44,,zcta45,,zcta46,,zcta47,,zcta48,,zcta49,,zcta50,,zcta51,,zcta52,,zcta53,,zcta54,,zcta55,,zcta56,,zcta57,,zcta58,,zcta59,,zcta60,,zcta61,,zcta62,,zcta63,,zcta64,,zcta65,,zcta66,,zcta67,,zcta68,,zcta69,,zcta70,,zcta71,,zcta72,,zcta73,,zcta74,,zcta75,,zcta76,,zcta77,,zcta78,,zcta79,,zcta80,,zcta81,,zcta82,,zcta83,,zcta84,,zcta85,,zcta86,,zcta87,,zcta88,,zcta89,,zcta90,,zcta91,,zcta92,,zcta93,,zcta94,,zcta95,,zcta96,,zcta97,,zcta98,,zcta99,,zcta100,,zcta101,,zcta102,,zcta103,,zcta104,,zcta105,,zcta106,,zcta107,,zcta108,,zcta109,,zcta110,,zcta111,,zcta112,,zcta113,,zcta114,,zcta115,,zcta116,,zcta117,,zcta118,,zcta119,,zcta120,,zcta121,,zcta122,,zcta123,,zcta124,,zcta125,,zcta126,,zcta127,,zcta128,,zcta129,,zcta130,,zcta131,,zcta132,,zcta133,,zcta134,,zcta135,,zcta136,,zcta137,,zcta138,,zcta139,,zcta140,,zcta141,,zcta142,,zcta143,,zcta144,,zcta145,,zcta146,,zcta147,,zcta148,,zcta149,,zcta150,,zcta151
PersonDistance(miles per day),bike,0.008136419,,0.069778598,,0.044528318,,0.047450148,,0.208769601,,0.017884615,,0.018388375,,0.085421624,,0.097862249,,0.027507911,,0.017711579,,0.088672936,,2.16110248,,1.768372027,,0.057847971,,0.786908397,,0.075478556,,0.046545023,,0.082939286,,0.059362043,,0.04037056,,0.083204155,,0,,0.067014025,,0.039077728,,0.043305131,,0.021616715,,0.019117647,,0.03760597,,0.063189189,,0.020942029,,0.028830942,,0.031443299,,0,,0.015689001,,0.020690236,,0.051733758,,0.037158643,,0.03414557,,0.106138242,,0.074761905,,0.065684321,,0.026414351,,0,,0.081194263,,0.075098452,,0.057752155,,0.056040237,,0.01675219,,0.055733789,,0.025112142,,0,,0.093674592,,0.045747178,,0.078990415,,0.033966006,,0.066978992,,0.092161914,,0.020862069,,0,,0.003418079,,0.046364764,,0.009110228,,0.031029869,,0.037740451,,0.157420904,,0.034775679,,0.021265634,,0.163012508,,0.251085498,,0,,0,,0,,0.036137993,,0.034287969,,0.044126109,,0,,0.037971014,,0,,0,,0,,0.027968393,,0,,0.052752746,,0,,0,,0,,0.055614074,,0.05058033,,0.055170728,,0.064862162,,0.081484498,,0.049634213,,0.056106334,,0.370642674,,0.522143015,,0.764229101,,0.154425456,,0.401436843,,0.17890173,,0.234378815,,0.169541935,,0.144848644,,0.123836646,,0.112529925,,0.108601307,,0.126441537,,0.178068221,,0.126424947,,0.114332192,,0.088723087,,0.065664943,,0.048872321,,0.080295098,,0.083545669,,0.157176973,,0.124876572,,0.080411728,,0.04879617,,0.100102079,,0.096888496,,0.082254952,,0.062997009,,0.090957059,,0.074091566,,0.017008547,,0,,0.035866013,,0.056845564,,0.03377752,,0.035854922,,0,,0.04053076,,0.013650921,,0.265021277,,0.022251309,,0.037011073,,0.008967517,,0.080413793,,0.057845365,,0.010823328,,0.016937799,,0.004537634,,0.046827309,,0.054331584,,0.104575264,,0.076734113,,0,,0,,0,,0
,walk,0.031546894,,0.186457565,,0.152291272,,0.196549993,,0.449465726,,0.1025,,0.035006605,,0.230055416,,0.20815209,,0.155553797,,0.042741053,,0.079582027,,0.401154765,,0.303626476,,0.092991782,,0.122900763,,0.204237079,,0.080732023,,0.218558917,,0.086466613,,0.294275492,,0.188584301,,0.051983471,,0.219807854,,0.030230194,,0.245589534,,0.06470317,,0.056378874,,0.070973134,,0.070036036,,0.097065217,,0.062478124,,0.19185567,,0.054166667,,0.124721871,,0.182547699,,0.151803815,,0.107044329,,0.034092827,,0.349722014,,0.032857143,,0.128990561,,0.057330991,,0.113215297,,0.269431888,,0.240177302,,0.175616542,,0.090740828,,0.0622403,,0.139985417,,0.045924207,,0.112394366,,0.271153766,,0.108361557,,0.156581601,,0.061246459,,0.184037492,,0.269678631,,0.109913793,,0.022525253,,0.058241525,,0.128519438,,0.061387442,,0.060662726,,0.144850437,,0.359499337,,0.191275089,,0.073893971,,0.274597202,,0.341038096,,0.092380952,,0.232639405,,0.007626168,,0.177634409,,0.073560154,,0.080332035,,0.012156863,,0.010275362,,0.012015209,,0.022703583,,0,,0.084298191,,0.018055556,,0.074104485,,0.015950413,,0.022368421,,0.1235,,0.16258817,,0.111310451,,0.155031083,,0.255359183,,0.275848622,,0.149170317,,0.163026815,,0.304684291,,0.984575925,,1.262853297,,0.350510137,,0.966909623,,0.573778805,,0.647556509,,0.439064862,,0.381793372,,0.263298243,,0.280276669,,0.292560489,,0.294749349,,0.330525654,,0.275773996,,0.282273721,,0.246737206,,0.182297611,,0.125489282,,0.249464613,,0.190964146,,0.282102232,,0.289135218,,0.281236848,,0.146320109,,0.28845669,,0.274939501,,0.238451183,,0.217268411,,0.224409756,,0.266786574,,0.166630037,,0.039045455,,0.052218954,,0.026396495,,0.014820394,,0.033246978,,0,,0.010615199,,0.047910328,,0.020297872,,0.252146597,,0.23742268,,0.11549884,,0.012689655,,0.178468644,,0.026114923,,0.01861244,,0.042193548,,0.016787149,,0.134433467,,0.323238316,,0.242396848,,0.004393939,,0.014356006,,0.03627907,,0.015668748
,motorcycle,0.516207308,,0.277436215,,0.386766923,,0.375475866,,0.18110565,,0.609680769,,0.607872882,,0.278610109,,0.298799872,,0.551276345,,0.680628328,,0.587847574,,0.123334277,,0.228098241,,0.419515445,,0.455291439,,0.301956689,,0.501249338,,0.296334355,,0.4100998,,0.414132405,,0.318531529,,0.728091027,,0.341046284,,0.715998922,,0.311050625,,0.617691807,,0.599525987,,0.570409382,,0.60554556,,0.582381573,,0.62119757,,0.573977172,,0.57227381,,0.540410096,,0.649663276,,0.392859056,,0.429039321,,0.662465341,,0.194302479,,0.501200227,,0.348720627,,0.505461132,,0.73022159,,0.239877743,,0.266617695,,0.334945255,,0.479212308,,0.623441007,,0.449646006,,0.633650812,,0.802038229,,0.259704258,,0.527863301,,0.3253111,,0.693093909,,0.318726755,,0.269678382,,0.676630542,,0.62609596,,0.681574718,,0.470594268,,0.688977434,,0.593711103,,0.538570041,,0.261100169,,0.487966843,,0.588106392,,0.312905336,,0.277305965,,0.620986395,,0.670028731,,0.731448385,,0.541749373,,0.527750777,,0.593927417,,0.924892717,,0.719254969,,0.687606138,,1.003554165,,0.98167551,,0.550161634,,0.65185,,0.567707888,,0.801507497,,1.091614474,,0.554773571,,0.385828969,,0.388634101,,0.366851609,,0.383893615,,0.313857264,,0.424072373,,0.330556789,,0.292863396,,0.122042875,,0.075105861,,0.176204344,,0.17181023,,0.175101699,,0.19561737,,0.215783196,,0.192797185,,0.22487108,,0.229200973,,0.213516079,,0.189477698,,0.198562786,,0.239565173,,0.25111002,,0.23663717,,0.343480273,,0.473703115,,0.325244587,,0.266982788,,0.256999897,,0.273470422,,0.332327544,,0.466432969,,0.228783824,,0.241851778,,0.263331705,,0.321199586,,0.267398037,,0.279947065,,0.655890912,,0.600502532,,0.622334486,,0.540980739,,0.596192319,,0.559387762,,0.535341597,,0.536241668,,0.726694201,,0.518443404,,0.223169559,,0.298039284,,0.657828721,,0.549103547,,0.375040915,,0.59031175,,0.5038838,,0.675882673,,0.599818589,,0.434272668,,0.180817073,,0.234540449,,0.658650216,,0.734198181,,0.949178405,,0.774620675
,car,23.22932887,,12.48462968,,17.40451155,,16.89641396,,8.149754248,,27.43563462,,27.35427968,,12.5374549,,13.44599426,,24.80743552,,30.62827475,,26.45314084,,5.550042458,,10.26442084,,18.87819503,,20.48811478,,13.58805099,,22.55622022,,13.33504597,,18.45449102,,18.63595822,,14.33391879,,32.76409622,,15.34708277,,32.21995147,,13.99727811,,27.79613133,,26.97866942,,25.66842217,,27.24955019,,26.20717081,,27.95389064,,25.82897275,,25.75232143,,24.31845431,,29.2348474,,17.67865753,,19.30676943,,29.81094033,,8.74361157,,22.5540102,,15.69242822,,22.74575095,,32.85997157,,10.79449846,,11.99779628,,15.07253648,,21.56455385,,28.0548453,,20.23407027,,28.51428654,,36.09172032,,11.68669162,,23.75384855,,14.63899949,,31.18922592,,14.342704,,12.13552721,,30.44837438,,28.17431818,,30.67086229,,21.17674206,,31.00398451,,26.71699964,,24.23565186,,11.74950763,,21.95850794,,26.46478765,,14.08074013,,12.47876843,,27.94438776,,30.15129288,,32.9151773,,24.37872177,,23.74878495,,26.72673378,,41.62017227,,32.3664736,,30.94227621,,45.15993741,,44.17539796,,24.75727355,,29.33325,,25.54685498,,36.06783737,,49.12265132,,24.96481071,,17.3623036,,17.48853456,,16.50832241,,17.27521269,,14.12357686,,19.08325679,,14.8750555,,13.17885283,,5.491929388,,3.379763747,,7.929195497,,7.731460346,,7.879576457,,8.802781669,,9.710243825,,8.675873341,,10.11919858,,10.31404379,,9.608223546,,8.526496393,,8.935325365,,10.78043276,,11.29995091,,10.64867266,,15.45661227,,21.31664019,,14.63600644,,12.01422544,,11.56499536,,12.30616898,,14.95473946,,20.98948358,,10.29527209,,10.88333,,11.84992674,,14.45398135,,12.03291167,,12.59761791,,29.51509105,,27.02261396,,28.00505189,,24.34413323,,26.82865436,,25.1724493,,24.09037185,,24.13087506,,32.70123905,,23.32995319,,10.04263014,,13.4117678,,29.60229243,,24.70965961,,16.87684115,,26.56402873,,22.67477102,,30.41472028,,26.99183649,,19.54227006,,8.136768269,,10.55432021,,29.63925974,,33.03891813,,42.71302824,,34.85793038
,truck,1.548621924,,0.832308645,,1.16030077,,1.126427597,,0.54331695,,1.829042308,,1.823618645,,0.835830327,,0.896399617,,1.653829035,,2.041884983,,1.763542723,,0.370002831,,0.684294723,,1.258546335,,1.365874318,,0.905870066,,1.503748015,,0.889003065,,1.230299401,,1.242397214,,0.955594586,,2.184273081,,1.023138851,,2.147996765,,0.933151874,,1.853075422,,1.798577962,,1.711228145,,1.81663668,,1.74714472,,1.86359271,,1.721931517,,1.716821429,,1.621230287,,1.948989827,,1.178577168,,1.287117962,,1.987396022,,0.582907438,,1.50360068,,1.046161881,,1.516383396,,2.190664771,,0.71963323,,0.799853085,,1.004835765,,1.437636923,,1.87032302,,1.348938018,,1.900952436,,2.406114688,,0.779112775,,1.583589903,,0.975933299,,2.079281728,,0.956180266,,0.809035147,,2.029891626,,1.878287879,,2.044724153,,1.411782804,,2.066932301,,1.78113331,,1.615710124,,0.783300508,,1.463900529,,1.764319177,,0.938716009,,0.831917895,,1.862959184,,2.010086192,,2.194345154,,1.625248118,,1.58325233,,1.781782252,,2.774678151,,2.157764907,,2.062818414,,3.010662494,,2.945026531,,1.650484903,,1.95555,,1.703123665,,2.404522491,,3.274843421,,1.664320714,,1.157486906,,1.165902304,,1.100554827,,1.151680846,,0.941571791,,1.272217119,,0.991670367,,0.878590188,,0.366128626,,0.225317583,,0.528613033,,0.51543069,,0.525305097,,0.586852111,,0.647349588,,0.578391556,,0.674613239,,0.687602919,,0.640548236,,0.568433093,,0.595688358,,0.718695518,,0.753330061,,0.70991151,,1.030440818,,1.421109346,,0.975733762,,0.800948363,,0.770999691,,0.820411265,,0.996982631,,1.399298906,,0.686351473,,0.725555333,,0.789995116,,0.963598757,,0.802194112,,0.839841194,,1.967672737,,1.801507597,,1.867003459,,1.622942216,,1.788576957,,1.678163286,,1.60602479,,1.608725004,,2.180082603,,1.555330213,,0.669508676,,0.894117853,,1.973486162,,1.64731064,,1.125122744,,1.770935249,,1.511651401,,2.027648018,,1.799455766,,1.302818004,,0.542451218,,0.703621347,,1.975950649,,2.202594542,,2.847535216,,2.323862025
,bus,0.516207308,,0.277436215,,0.386766923,,0.375475866,,0.18110565,,0.609680769,,0.607872882,,0.278610109,,0.298799872,,0.551276345,,0.680628328,,0.587847574,,0.123334277,,0.228098241,,0.419515445,,0.455291439,,0.301956689,,0.501249338,,0.296334355,,0.4100998,,0.414132405,,0.318531529,,0.728091027,,0.341046284,,0.715998922,,0.311050625,,0.617691807,,0.599525987,,0.570409382,,0.60554556,,0.582381573,,0.62119757,,0.573977172,,0.57227381,,0.540410096,,0.649663276,,0.392859056,,0.429039321,,0.662465341,,0.194302479,,0.501200227,,0.348720627,,0.505461132,,0.73022159,,0.239877743,,0.266617695,,0.334945255,,0.479212308,,0.623441007,,0.449646006,,0.633650812,,0.802038229,,0.259704258,,0.527863301,,0.3253111,,0.693093909,,0.318726755,,0.269678382,,0.676630542,,0.62609596,,0.681574718,,0.470594268,,0.688977434,,0.593711103,,0.538570041,,0.261100169,,0.487966843,,0.588106392,,0.312905336,,0.277305965,,0.620986395,,0.670028731,,0.731448385,,0.541749373,,0.527750777,,0.593927417,,0.924892717,,0.719254969,,0.687606138,,1.003554165,,0.98167551,,0.550161634,,0.65185,,0.567707888,,0.801507497,,1.091614474,,0.554773571,,0.385828969,,0.388634101,,0.366851609,,0.383893615,,0.313857264,,0.424072373,,0.330556789,,0.292863396,,0.122042875,,0.075105861,,0.176204344,,0.17181023,,0.175101699,,0.19561737,,0.215783196,,0.192797185,,0.22487108,,0.229200973,,0.213516079,,0.189477698,,0.198562786,,0.239565173,,0.25111002,,0.23663717,,0.343480273,,0.473703115,,0.325244587,,0.266982788,,0.256999897,,0.273470422,,0.332327544,,0.466432969,,0.228783824,,0.241851778,,0.263331705,,0.321199586,,0.267398037,,0.279947065,,0.655890912,,0.600502532,,0.622334486,,0.540980739,,0.596192319,,0.559387762,,0.535341597,,0.536241668,,0.726694201,,0.518443404,,0.223169559,,0.298039284,,0.657828721,,0.549103547,,0.375040915,,0.59031175,,0.5038838,,0.675882673,,0.599818589,,0.434272668,,0.180817073,,0.234540449,,0.658650216,,0.734198181,,0.949178405,,0.774620675
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution by road type,bike,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53
,walk,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75
,motorcycle,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18
