,,Absulte changes of death from PA,,,,,,,Absulte changes of deaths from TI,,,,,,,Absulte changes of DALYs from PA,,,,,,,Absulte changes of DALYs from TI,,,,,
ID,zcta,2020,2027,2036,S1,S2,S3,,2020,2027,2036,S1,S2,S3,,2020,2027,2036,S1,S2,S3,,2020,2027,2036,S1,S2,S3
zcta1,94571,0.077474242,0.008423372,0.028964007,-0.289994569,-0.657315393,0.083676023,,-0.526232199,-0.018870688,-0.035057561,-0.020756782,-0.018258255,-0.10917399,,-0.060080197,0.209103583,-0.738775079,-4.747144543,-8.506181155,0.03296372,,-20.5671339,-0.706796755,-1.336225315,-0.784218755,-0.698969177,-4.206856459
zcta2,95220,-0.868120372,-0.9118198,-0.542316774,0.325591447,-1.440813798,-0.818462145,,-0.096737079,0.030430612,0.087664993,0.078077213,0.100263618,0.228543558,,-3.695790443,1.401966456,0.544059515,9.386944258,-8.676755558,-0.951483241,,-4.535609961,1.437979246,4.149072264,3.759200671,4.900323477,11.10871261
zcta3,95602,0.19090373,-0.307295108,-0.16131941,0.195898021,-1.520114358,-0.430437311,,-0.588739244,-0.083833188,-0.122775315,-0.093473861,-0.084055043,-0.023983376,,2.122243245,-3.592222125,-1.998436991,1.015413781,-11.9433295,-5.233872199,,-25.61330898,-3.640195646,-5.332830598,-3.854343419,-3.59211861,-1.014658326
zcta4,95603,2.193364628,-0.322468092,1.793096235,-0.11665685,-0.303759549,1.408196542,,-0.664044128,-0.00556198,-0.059759857,0.007216051,0.084717806,0.010647566,,15.78170527,-5.972735979,12.04570852,-2.511500901,-5.391958107,1.008940301,,-30.25663819,-0.197137419,-2.655067769,0.381305529,3.949118239,0.64719658
zcta5,95605,-0.310723149,-1.253801937,-1.727088588,-1.304065827,-1.687994273,-1.803361378,,-0.107901458,0.017235203,0.037678707,-0.004293129,0.009661113,0.018051693,,-6.594786031,-17.7643464,-27.23222959,-19.74051985,-25.21783053,-27.42896569,,-5.674051451,1.271521577,2.232803996,0.00972865,0.823163318,1.282944818
zcta6,95606,0.001083712,-0.054664083,-0.06465515,0.000956183,0.001812,-0.003046279,,-0.013076429,-0.000260189,0.001248677,-0.00146856,-0.000995419,0.00157997,,0.010765971,-0.497922839,-0.666650231,-0.195564681,-0.024166761,-0.092072273,,-0.672926824,-0.011483043,0.066181663,-0.071563701,-0.050124053,0.084832499
zcta7,95607,-0.004966188,-8.4482E-05,-0.00211569,-0.009461414,-0.001757232,-0.005391015,,-0.024656641,-0.000818832,0.000993369,0.0019428,-0.000436577,-0.000261558,,-0.141822999,0.011314903,-0.051876719,-0.209388677,-0.100573898,-0.137256614,,-1.100485164,-0.035933547,0.046338879,0.092961219,-0.01053701,-0.005808853
zcta8,95608,0.172835056,0.334716903,6.482953891,6.887434907,0.77461633,6.906690036,,-0.258479476,0.158009121,0.138705781,-0.036672219,0.057212051,0.04502219,,1.498585022,1.125369907,49.59972054,54.08934373,4.41793183,57.622059,,-11.708085,7.384046544,6.490213367,-1.561904206,2.739565354,2.049625754
zcta9,95610,-0.046143074,-0.135096695,-0.406776097,-0.203051161,1.733724055,1.752926275,,-0.108203284,0.148086185,0.060266705,0.055860504,0.162332686,0.141674975,,-0.467372436,-2.603524159,-8.799388207,-4.494813191,9.998170513,10.66621796,,-5.676043357,7.922476939,3.212245442,2.992840607,8.711024398,7.558173487
zcta10,95612,-0.010624855,-0.025708424,-0.142314774,-0.012410131,-0.074469105,-0.110601964,,-0.007002149,0.004422156,0.003714206,0.003185383,0.004142821,0.006357953,,-0.231825939,-0.75948952,-2.120849102,-0.384689449,-0.802652618,-1.278531828,,-0.31934164,0.211022307,0.182522874,0.148165316,0.19204586,0.301043561
zcta11,95614,-0.008704691,-0.012505324,-0.0081772,-0.010798779,-0.008670898,-0.030302399,,-0.068590438,-0.007855943,-0.005938953,0.007869384,-0.014451344,-0.006906283,,-0.392333075,-0.273415967,-0.246285727,-0.274282825,-0.340101655,-1.010518606,,-3.155501863,-0.345640989,-0.254656154,0.385871277,-0.642546266,-0.283739413
zcta12,95615,0.030519154,0.060481385,0.060638946,0.059683927,0.059193243,0.054987198,,-0.004017897,0.012149675,0.011015549,0.006485659,0.010510584,0.006409785,,0.141659216,0.460470068,0.395996878,0.338086534,0.314048259,0.202453934,,-0.193751317,0.592380693,0.536474207,0.322961866,0.516035901,0.318880272
zcta13,95616,-0.546252876,-1.886064559,-1.038123507,0.344428216,0.235245537,0.431466658,,-0.654969454,0.545082109,0.669976858,0.257039679,0.28346506,0.237044983,,-18.16701706,-35.18894101,-27.33685094,-1.907300601,-1.347731213,-0.63526222,,-38.38799082,31.69474841,38.64186024,15.03287619,16.66245206,14.04058514
zcta14,95618,0.02430943,-0.194111953,-0.374382858,-0.0310668,-0.151604221,-0.143336089,,-0.247383065,0.167318643,0.187004189,0.060357597,0.126591961,0.165648393,,-5.391358011,-9.728961211,-13.9000989,-4.494433163,-5.709568566,-5.335640922,,-14.24931097,9.258225323,10.33762052,3.485635772,7.161085964,9.489172352
zcta15,95619,0.010324423,0.12374938,0.020334161,0.009860766,-0.005139961,-0.076428629,,-0.161677651,0.001395038,0.005779625,0.000485394,-0.009413202,0.037049642,,-0.500868648,0.519662729,-0.096483343,-0.816279961,-0.602254837,-1.810393997,,-7.435919375,0.078739503,0.276885173,0.031965265,-0.397672257,1.752332401
zcta16,95620,-0.662831364,-0.744327914,-0.15633453,-4.381091851,-0.210551707,-1.027760444,,-0.158888861,0.552069876,0.258960912,0.192895817,0.214150474,0.372428164,,-19.16028453,-20.98699441,-8.183772503,-44.14396131,-7.700333606,-22.13003161,,-8.342191667,30.21730882,14.28562388,11.02184972,12.03439815,20.80859668
zcta17,95621,2.791930036,3.067251769,2.725266033,2.765871179,2.815210644,3.059381683,,-0.101129246,0.120752696,0.101597204,0.019453209,0.093965327,0.15084139,,23.51478907,24.3556507,18.92284475,21.49694561,24.07538313,24.12049159,,-5.102053789,6.044996449,5.132402524,1.030692334,4.737184585,7.50939443
zcta18,95623,0.157472792,0.111096195,-0.395385689,0.15274793,0.175517369,-0.078534593,,-0.093148212,0.012785329,0.010570816,0.002108814,0.013387447,0.029789632,,0.942699551,-0.069475403,-4.103109452,0.830345977,1.091276427,-1.994799669,,-4.235052155,0.621984517,0.504070783,0.107579285,0.627083016,1.397423724
zcta19,95624,-0.441415278,0.001052473,-0.009696363,-0.350997651,-0.259248651,-0.312210038,,-0.561621855,0.146137969,0.132220211,-0.081174766,-0.042701246,0.106477051,,-4.949702221,0.247771861,-2.456815616,-5.520000975,-4.503703385,-6.074076064,,-30.3018869,7.859385765,7.007171,-4.457467909,-2.323731791,5.724252417
zcta20,95626,0.756759588,0.799963792,0.739933436,0.529776466,0.721168298,0.486100335,,-0.017587633,0.005545998,0.017506784,-0.00659895,0.007795366,-0.001253349,,5.524762621,6.242542417,4.781436953,3.142058794,5.004118361,3.029780947,,-0.953133837,0.303580649,0.895324414,-0.304799046,0.44436493,-0.060925555
