,,Age std changes of death from PA,,,,,,,Age std changes of deaths from TI,,,,,,,Age std changes of DALYs from PA,,,,,,,Age std changes of DALYs from TI,,,,,
ID,zcta,2020,2027,2036,S1,S2,S3,,2020,2027,2036,S1,S2,S3,,2020,2027,2036,S1,S2,S3,,2020,2027,2036,S1,S2,S3
zcta1,94571,0.522977576,0.055272218,0.273184009,-1.819474458,-5.901344002,0.396082699,,-5.922535086,-0.212382127,-0.39455897,-0.233609365,-0.205489427,-1.228710037,,-0.060080197,0.209103583,-0.738775079,-4.747144543,-8.506181155,0.03296372,,-304.0202372,-10.54146425,-19.855382,-11.6746069,-10.37665663,-62.36822456
zcta2,95220,-8.068334956,-14.49772804,-9.137177057,3.835819725,-19.70803204,-13.5462088,,-1.304919959,0.41048906,1.182543457,1.05321056,1.352490674,3.082903201,,-3.695790443,1.401966456,0.544059515,9.386944258,-8.676755558,-0.951483241,,-65.23247046,20.67025038,59.63443575,53.96764957,70.27892587,159.3763299
zcta3,95602,0.575831583,-1.022883334,-0.574711307,0.492147001,-4.70840776,-1.389404438,,-3.10179638,-0.441678522,-0.646846682,-0.492470797,-0.442847372,-0.126357383,,2.122243245,-3.592222125,-1.998436991,1.015413781,-11.9433295,-5.233872199,,-159.4662085,-22.66855321,-33.20786488,-24.1489584,-22.41060995,-6.33777932
zcta4,95603,4.308477863,-0.805211888,3.437696269,-0.28915856,-0.718960224,2.407156832,,-2.213143707,-0.018537113,-0.19916922,0.024049846,0.282349729,0.035486488,,15.78170527,-5.972735979,12.04570852,-2.511500901,-5.391958107,1.008940301,,-113.3671575,-0.756665509,-9.969866167,1.411884272,14.76826435,2.373071477
zcta5,95605,-2.575047713,-10.99212698,-14.9193081,-11.15375702,-14.74761239,-15.46554702,,-0.764326601,0.122086616,0.266899431,-0.030410642,0.068435084,0.127870278,,-6.594786031,-17.7643464,-27.23222959,-19.74051985,-25.21783053,-27.42896569,,-38.46943918,8.805112645,15.26508493,0.184821995,5.740019688,8.866654865
zcta6,95606,0.358065196,-33.12462429,-37.87253594,0.286971046,0.439935445,-2.520697801,,-6.456412034,-0.128466605,0.616527372,-0.725093209,-0.491482267,0.78010103,,0.010765971,-0.497922839,-0.666650231,-0.195564681,-0.024166761,-0.092072273,,-328.6990329,-5.613976682,32.32221987,-34.96654224,-24.48654285,41.42828122
zcta7,95607,-0.719674169,0.003653466,-0.300914177,-1.114706831,-0.276127691,-1.172077682,,-5.48251416,-0.182071036,0.220880115,0.431990144,-0.097074891,-0.058158562,,-0.141822999,0.011314903,-0.051876719,-0.209388677,-0.100573898,-0.137256614,,-279.7714766,-9.164441989,11.68508025,23.33523248,-3.105319946,-1.756327787
zcta8,95608,0.164119537,0.283826089,5.325311202,5.66030601,0.629785763,5.780110446,,-0.404451994,0.24724247,0.21703785,-0.057382321,0.089521723,0.070447816,,1.498585022,1.125369907,49.59972054,54.08934373,4.41793183,57.622059,,-20.75525426,13.06346112,11.48120738,-2.780396441,4.839241343,3.632228839
zcta9,95610,-0.132520975,-0.350407974,-0.994520634,-0.481371776,3.908411354,3.977614515,,-0.243203282,0.332846147,0.135458554,0.12555495,0.364867317,0.318435982,,-0.467372436,-2.603524159,-8.799388207,-4.494813191,9.998170513,10.66621796,,-12.47160604,17.42031431,7.062265252,6.581151657,19.15634874,16.61753822
zcta10,95612,-0.531990575,-1.519485609,-7.546823852,-0.685395376,-4.01108991,-6.012539408,,-0.542386235,0.342540045,0.287702264,0.246739676,0.320902793,0.492486847,,-0.231825939,-0.75948952,-2.120849102,-0.384689449,-0.802652618,-1.278531828,,-27.29974711,17.97005085,15.50543691,12.64471286,16.39434724,25.65278896
