,male,female,id
ageCat1,155,150,zcta1
ageCat2,359,360, 
ageCat3,455,414, 
ageCat4,465,496, 
ageCat5,755,850, 
ageCat6,864,976, 
ageCat7,553,593, 
ageCat8,235,231, 
, , , 
ageCat1,199,182,zcta2
ageCat2,544,514, 
ageCat3,670,590, 
ageCat4,591,589, 
ageCat5,892,865, 
ageCat6,405,456, 
ageCat7,260,234, 
ageCat8,132,150, 
, , , 
ageCat1,402,425,zcta3
ageCat2,1054,983, 
ageCat3,1448,1275, 
ageCat4,1143,1207, 
ageCat5,1995,2271, 
ageCat6,1280,1331, 
ageCat7,722,758, 
ageCat8,458,757, 
, , , 
ageCat1,639,642,zcta4
ageCat2,1503,1468, 
ageCat3,2576,2249, 
ageCat4,2240,2180, 
ageCat5,3301,3629, 
ageCat6,1721,1891, 
ageCat7,896,1150, 
ageCat8,606,1153, 
, , , 
ageCat1,583,578,zcta5
ageCat2,1001,1001, 
ageCat3,1792,1597, 
ageCat4,1479,1299, 
ageCat5,1268,1328, 
ageCat6,503,584, 
ageCat7,311,434, 
ageCat8,178,243, 
, , , 
ageCat1,4,2,zcta6
ageCat2,17,10, 
ageCat3,23,23, 
ageCat4,16,16, 
ageCat5,27,24, 
ageCat6,8,10, 
ageCat7,6,4, 
ageCat8,2,4, 
, , , 
ageCat1,6,8,zcta7
ageCat2,27,24, 
ageCat3,24,25, 
ageCat4,39,26, 
ageCat5,71,65, 
ageCat6,30,34, 
ageCat7,21,11, 
ageCat8,5,15, 
, , , 
ageCat1,1621,1561,zcta8
ageCat2,3320,3308, 
ageCat3,5497,5353, 
ageCat4,4671,5082, 
ageCat5,6547,7385, 
ageCat6,3007,3528, 
ageCat7,1773,2383, 
ageCat8,1581,2801, 
, , , 
ageCat1,1583,1463,zcta9
ageCat2,2775,2610, 
ageCat3,5228,5215, 
ageCat4,4373,4294, 
ageCat5,4309,4610, 
ageCat6,1832,2129, 
ageCat7,958,1234, 
ageCat8,526,1008, 
, , , 
ageCat1,32,30,zcta10
ageCat2,94,81, 
ageCat3,111,85, 
ageCat4,102,98, 
ageCat5,150,155, 
ageCat6,71,70, 
ageCat7,46,52, 
ageCat8,25,37, 
, , , 
ageCat1,90,82,zcta11
ageCat2,214,236, 
ageCat3,240,262, 
ageCat4,279,311, 
ageCat5,522,587, 
ageCat6,314,284, 
ageCat7,146,157, 
ageCat8,51,58, 
, , , 
ageCat1,30,29,zcta12
ageCat2,62,51, 
ageCat3,93,76, 
ageCat4,77,77, 
ageCat5,93,77, 
ageCat6,51,35, 
ageCat7,14,18, 
ageCat8,22,29, 
, , , 
ageCat1,727,682,zcta13
ageCat2,1546,1534, 
ageCat3,11477,13587, 
ageCat4,3001,2899, 
ageCat5,2628,3147, 
ageCat6,1392,1565, 
ageCat7,685,861, 
ageCat8,478,823, 
, , , 
ageCat1,667,648,zcta14
ageCat2,1897,1730, 
ageCat3,4554,4649, 
ageCat4,2199,2482, 
ageCat5,2439,2651, 
ageCat6,886,1017, 
ageCat7,430,472, 
ageCat8,202,358, 
, , , 
ageCat1,142,151,zcta15
ageCat2,295,269, 
ageCat3,441,446, 
ageCat4,392,398, 
ageCat5,497,594, 
ageCat6,244,303, 
ageCat7,154,226, 
ageCat8,111,179, 
, , , 
ageCat1,751,724,zcta16
ageCat2,1721,1587, 
ageCat3,2330,2206, 
ageCat4,2059,2151, 
ageCat5,2073,2162, 
ageCat6,757,793, 
ageCat7,369,443, 
ageCat8,173,254, 
, , , 
ageCat1,1287,1278,zcta17
ageCat2,2548,2454, 
ageCat3,4159,4112, 
ageCat4,3999,3816, 
ageCat5,3845,4271, 
ageCat6,1647,2174, 
ageCat7,1027,1461, 
ageCat8,613,1128, 
, , , 
ageCat1,85,86,zcta18
ageCat2,219,194, 
ageCat3,300,274, 
ageCat4,259,269, 
ageCat5,530,547, 
ageCat6,296,295, 
ageCat7,135,154, 
ageCat8,66,97, 
, , , 
ageCat1,2048,1947,zcta19
ageCat2,5405,5059, 
ageCat3,6474,6153, 
ageCat4,5910,6764, 
ageCat5,6495,6923, 
ageCat6,2326,2574, 
ageCat7,1126,1310, 
ageCat8,534,941, 
, , , 
ageCat1,185,160,zcta20
ageCat2,441,386, 
ageCat3,630,593, 
ageCat4,507,500, 
ageCat5,750,793, 
ageCat6,294,288, 
ageCat7,134,162, 
ageCat8,53,99, 
, , , 
ageCat1,112,113,zcta21
ageCat2,270,291, 
ageCat3,421,369, 
ageCat4,336,347, 
ageCat5,343,349, 
ageCat6,148,150, 
ageCat7,93,85, 
ageCat8,35,51, 
, , , 
ageCat1,987,899,zcta22
ageCat2,2353,2222, 
ageCat3,3617,3437, 
ageCat4,3344,3406, 
ageCat5,4651,5077, 
ageCat6,2456,2802, 
ageCat7,1398,1612, 
ageCat8,766,1169, 
, , , 
ageCat1,15,14,zcta23
ageCat2,30,47, 
ageCat3,52,48, 
ageCat4,53,39, 
ageCat5,110,139, 
ageCat6,79,81, 
ageCat7,49,40, 
ageCat8,22,14, 
, , , 
ageCat1,2242,2189,zcta24
ageCat2,5223,5023, 
ageCat3,7586,5538, 
ageCat4,10410,7723, 
ageCat5,8571,7553, 
ageCat6,2542,2797, 
ageCat7,1239,1575, 
ageCat8,653,1316, 
, , , 
ageCat1,126,148,zcta25
ageCat2,359,302, 
ageCat3,452,447, 
ageCat4,436,452, 
ageCat5,900,906, 
ageCat6,444,445, 
ageCat7,229,215, 
ageCat8,94,121, 
, , , 
ageCat1,1028,1026,zcta26
ageCat2,2594,2447, 
ageCat3,3089,2971, 
ageCat4,2906,2895, 
ageCat5,2929,2942, 
ageCat6,1121,1229, 
ageCat7,581,741, 
ageCat8,302,468, 
, , , 
ageCat1,65,60,zcta27
ageCat2,196,151, 
ageCat3,278,249, 
ageCat4,219,254, 
ageCat5,495,485, 
ageCat6,277,274, 
ageCat7,130,116, 
ageCat8,45,55, 
, , , 
ageCat1,68,78,zcta28
ageCat2,152,158, 
ageCat3,293,219, 
ageCat4,285,223, 
ageCat5,449,417, 
ageCat6,242,244, 
ageCat7,137,123, 
ageCat8,65,79, 
, , , 
ageCat1,25,35,zcta29
ageCat2,71,67, 
ageCat3,143,82, 
ageCat4,102,92, 
ageCat5,177,181, 
ageCat6,100,87, 
ageCat7,34,28, 
ageCat8,18,20, 
, , , 
ageCat1,32,21,zcta30
ageCat2,79,64, 
ageCat3,79,72, 
ageCat4,83,93, 
ageCat5,159,153, 
ageCat6,87,70, 
ageCat7,40,41, 
ageCat8,14,14, 
, , , 
ageCat1,4,3,zcta31
ageCat2,12,16, 
ageCat3,32,30, 
ageCat4,20,22, 
ageCat5,52,55, 
ageCat6,37,33, 
ageCat7,24,19, 
ageCat8,4,7, 
, , , 
ageCat1,55,52,zcta32
ageCat2,179,147, 
ageCat3,223,199, 
ageCat4,179,176, 
ageCat5,299,304, 
ageCat6,151,133, 
ageCat7,54,53, 
ageCat8,24,27, 
, , , 
ageCat1,4,8,zcta33
ageCat2,16,18, 
ageCat3,31,17, 
ageCat4,23,29, 
ageCat5,38,34, 
ageCat6,17,20, 
ageCat7,7,9, 
ageCat8,5,7, 
, , , 
ageCat1,199,184,zcta34
ageCat2,488,488, 
ageCat3,1519,570, 
ageCat4,2236,639, 
ageCat5,2207,819, 
ageCat6,681,504, 
ageCat7,282,272, 
ageCat8,128,137, 
, , , 
ageCat1,45,39,zcta35
ageCat2,90,101, 
ageCat3,163,125, 
ageCat4,128,140, 
ageCat5,279,224, 
ageCat6,194,167, 
ageCat7,117,89, 
ageCat8,39,46, 
, , , 
ageCat1,97,84,zcta36
ageCat2,157,138, 
ageCat3,220,183, 
ageCat4,215,195, 
ageCat5,233,200, 
ageCat6,88,85, 
ageCat7,50,44, 
ageCat8,22,26, 
, , , 
ageCat1,1768,1734,zcta37
ageCat2,3149,3054, 
ageCat3,3493,3445, 
ageCat4,4567,4496, 
ageCat5,3465,3798, 
ageCat6,3033,4026, 
ageCat7,2451,2689, 
ageCat8,978,1208, 
, , , 
ageCat1,266,279,zcta38
ageCat2,917,801, 
ageCat3,1092,964, 
ageCat4,913,1015, 
ageCat5,1697,1688, 
ageCat6,733,783, 
ageCat7,406,430, 
ageCat8,191,272, 
, , , 
ageCat1,17,13,zcta39
ageCat2,29,30, 
ageCat3,49,46, 
ageCat4,65,58, 
ageCat5,96,88, 
ageCat6,57,39, 
ageCat7,16,15, 
ageCat8,7,12, 
, , , 
ageCat1,40,32,zcta40
ageCat2,76,69, 
ageCat3,131,168, 
ageCat4,35,74, 
ageCat5,47,35, 
ageCat6,7,9, 
ageCat7,3,7, 
ageCat8,2,4, 
, , , 
ageCat1,21,24,zcta41
ageCat2,56,37, 
ageCat3,77,62, 
ageCat4,39,41, 
