zctaID,zcta
1,94571
2,95220
3,95602
4,95603
5,95605
6,95606
7,95607
8,95608
9,95610
10,95612
11,95614
12,95615
13,95616
14,95618
15,95619
16,95620
17,95621
18,95623
19,95624
20,95626
21,95627
22,95628
23,95629
24,95630
25,95631
26,95632
27,95633
28,95634
29,95635
30,95636
31,95637
32,95638
33,95639
34,95640
35,95641
36,95645
37,95648
38,95650
39,95651
40,95652
41,95653
42,95655
43,95658
44,95659
45,95660
46,95661
47,95662
48,95663
49,95664
50,95667
51,95668
52,95669
53,95670
54,95672
55,95673
56,95674
57,95677
58,95678
59,95679
60,95680
61,95681
62,95682
63,95683
64,95684
65,95690
66,95691
67,95692
68,95693
69,95694
70,95695
71,95697
72,95698
73,95701
74,95703
75,95709
76,95713
77,95714
78,95715
79,95717
80,95720
81,95721
82,95722
83,95724
84,95726
85,95728
86,95735
87,95736
88,95742
89,95746
90,95747
91,95757
92,95758
93,95762
94,95765
95,95776
96,95811
97,95814
98,95815
99,95816
100,95817
101,95818
102,95819
103,95820
104,95821
105,95822
106,95823
107,95824
108,95825
109,95826
110,95827
111,95828
112,95829
113,95830
114,95831
115,95832
116,95833
117,95834
118,95835
119,95837
120,95838
121,95841
122,95842
123,95843
124,95864
125,95901
126,95903
127,95914
128,95918
129,95919
130,95922
131,95925
132,95930
133,95935
134,95937
135,95941
136,95948
137,95953
138,95957
139,95960
140,95961
141,95962
142,95966
143,95977
144,95981
145,95982
146,95991
147,95993
148,96145
149,96146
150,96155
151,96161
