,bike,walk,motorcycle,car,truck,bus,one-party,,
bike,0,0,0,2.13636364,0.27272727,0,0.36363636,local fatal,regionwide
walk,0,0.22727273,0.04545455,1.5,1.13636364,0,0,local fatal,
motorcycle,0.09090909,0,0.22727273,1.81818182,0.77272727,0.09090909,5.81818182,local fatal,
car,2,8.86363636,2.63636364,8.68181818,2.63636364,0,23.45454545,local fatal,
truck,1,2.04545455,1.31818182,4.95454545,1.04545455,0,5.72727273,local fatal,
bus,0.09090909,0,0,0.09090909,0.36363636,0,0.09090909,local fatal,
bike,0,0,0,0.18181818,0,0,0,arterial fatal,
walk,0,0.04545455,0,0.22727273,0.09090909,0,0,arterial fatal,
motorcycle,0,0,0.09090909,0.81818182,0.5,0,2.72727273,arterial fatal,
car,0.36363636,1.95454545,0.81818182,6.59090909,2.40909091,0,9.27272727,arterial fatal,
truck,0.09090909,0.68181818,1.04545455,4.27272727,1.27272727,0,2.18181818,arterial fatal,
bus,0,0,0,0.18181818,0,0,0,arterial fatal,
bike,0,0,0,0,0,0,0,highway fatal,
walk,0,0,0,0.5,0.22727273,0,0,highway fatal,
motorcycle,0,0,0,0.5,0.09090909,0,1.45454545,highway fatal,
car,0,1.86363636,0.18181818,5.86363636,1.68181818,0,11.27272727,highway fatal,
truck,0.09090909,0.45454545,0.54545455,2.63636364,1.18181818,0,2.90909091,highway fatal,
bus,0,0,0,0.09090909,0,0,0.09090909,highway fatal,
bike,0.68181818,0.09090909,0,4.54545455,1.77272727,0.09090909,4.18181818,local serious,
walk,0,0.5,0.04545455,7.72727273,1.81818182,0,0,local serious,
motorcycle,0.45454545,0.63636364,2.18181818,16.31818182,2.86363636,0.09090909,33.18181818,local serious,
car,11.04545455,18.54545455,11.45454545,47.22727273,12.36363636,0.09090909,73.72727273,local serious,
truck,4.54545455,3.54545455,4.77272727,16.27272727,5.09090909,0,19.27272727,local serious,
bus,0.18181818,0,0.09090909,0.13636364,0.95454545,0,0,local serious,
bike,0,0,0,0.36363636,0.27272727,0,1,arterial serious,
walk,0,0.04545455,0,1.04545455,0.31818182,0,0,arterial serious,
motorcycle,0,0,0.72727273,2.22727273,0.63636364,0,10.09090909,arterial serious,
car,0.54545455,1.59090909,3.31818182,17.86363636,5.90909091,0,25.63636364,arterial serious,
truck,0.36363636,0.27272727,1.68181818,7.68181818,3.40909091,0.09090909,7.36363636,arterial serious,
bus,0,0,0,0,0.09090909,0,0,arterial serious,
bike,0,0,0,0,0,0,0,highway serious,
walk,0,0,0,0.95454545,0.13636364,0,0,highway serious,
motorcycle,0.18181818,0.09090909,0.04545455,2.45454545,0.63636364,0,7.63636364,highway serious,
car,0.45454545,0.77272727,4,19.13636364,3.40909091,0,31.72727273,highway serious,
truck,0.09090909,0.22727273,0.86363636,8.40909091,1.77272727,0,7.18181818,highway serious,
bus,0,0,0,0.09090909,0,0,0.18181818,highway serious,
